id,question,A,B,C,D,E,answer,category,macro category
1065,Il presupposto fondamentale per la liceità dell'atto medico è,il fin di bene,la garanzia di mezzi e di risultati,il consenso dell'avente diritto,il consenso di un parente,l'assenza di rischi per la salute del paziente,C,Area Clinica 2017,medicina legale e sanità pubblica
1066,Al segreto professionale è tenuto,solo il medico curante,"chi ne ha notizia per il proprio stato,ufficio, professione o arte",solo il medico del pubblico servizio,ogni persona,chi ne ha notizia per il proprio ufficio i professione,B,Area Clinica 2017,medicina legale e sanità pubblica
1067,Il medico di medicina generale e/o il pediatra di libera scelta possono raccogliere il consenso dei propri pazienti al trattamento dei dati:,solo per iscritto,per iscritto e oralmente,solo oralmente,con raccomandata R.R.,oralmente o per iscritto,E,Area Clinica 2017,medicina legale e sanità pubblica
1068,Il titolare del trattamento dei dati ai sensi del Codice della privacy nomina il/i responsabili:,con lettera inviata alla persona nominata,"verbalmente AREA CLINICA Pag. 182/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",con lettera inviata al Garante della privacy,nessuna delle risposte indicate,con lettera inviata alla persona nominata e al Garante della privacy,A,Area Clinica 2017,medicina legale e sanità pubblica
1069,In quali di questi casi vi è obbligo di referto:,Violenza sessuale non aggravata su ragazza di 17 anni,Lesioni personali dolose con durata di malattia maggiore di 20 giorni,Trauma cranico con stato di coma secondario ad incidente stradale,Infortunio sul lavoro con malattia della durata di 30 giorni,Paziente in coma per intossicazione acuta da barbiturici,B,Area Clinica 2017,medicina legale e sanità pubblica
1070,"Al di fuori di alcuni casi particolari, nessun cadavere può essere chiuso in cassa, né essere sottoposto ad autopsia od a trattamenti conservativi, né essere inumato, tumulato, cremato, prima che siano trascorse",6 ore dalla morte,12 ore dalla morte,24 ore dalla morte,48 ore dalla morte,72 ore dalla morte,C,Area Clinica 2017,medicina legale e sanità pubblica
1071,L'infortunio sul lavoro (ambito INAIL) è assicurato,su base volontaria,su base obbligatoria,obbligatoriamente solo per i lavoratori del settore industriale,solo se non è prodotto per negligenza del lavoratore,solo se il lavoratore ha sottoscritto un'apposita polizza,B,Area Clinica 2017,medicina legale e sanità pubblica
1072,Nelle lesioni da proiettile da arma da fuoco il foro d'entrata si differenzia dal foro d'uscita perché,presenta sempre l'orletto abraso-contuso,è sempre di diametro equivalente a quello del proiettile,presenta colature ematiche,ha sempre dimensioni maggiori,ha sempre l'aspetto stellato,A,Area Clinica 2017,medicina legale e sanità pubblica
1073,Chi deve fare il referto?,solo il medico legale,solo il medico curante,"solo il medico che ha qualifica di pubblico ufficiale",ogni esercente una professione sanitaria,solo il medico ospedaliero,D,Area Clinica 2017,medicina legale e sanità pubblica
1074,Obblighi giuridici del medico: il Referto deve essere fatto quando il medico presta la sua assistenza od opera in casi di:,delitto di percosse,"delitto di lesioni personali colpose AREA CLINICA Pag. 183/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",delitto di lesioni personali dolose,delitti procedibili d'ufficio,per tutti i reati,D,Area Clinica 2017,medicina legale e sanità pubblica
1075,La denuncia delle cause di morte deve essere fatta,dal medico curante,dal sindaco,dall'ufficiale sanitario,dal direttore sanitario,dal medico provinciale,A,Area Clinica 2017,medicina legale e sanità pubblica
1076,Per suicidio mancato si intende quello:,Non effettuato per non eccessiva gravità di uno stato depressivo,Effettuato a scopo dimostrativo,Non attuato nonostante l'intenzione,Adeguatamente effettuato ma non riuscito per  motivi casuali,Condotto a termine secondo modalità volutamente non adeguate,D,Area Clinica 2017,medicina legale e sanità pubblica
1077,L'accertamento di morte cerebrale:,"prevede una commissione costituita da un cardiologo, un medico legale ed un rianimatore",va effettuato solo al fine di espianto,prevede sempre l'esecuzione di una flussimetria cerebrale sui minori di anni sei,nell'adulto necessita di una osservazione di dodici ore,nell'adulto necessita di una osservazione di sei  ore,E,Area Clinica 2017,medicina legale e sanità pubblica
1078,La forma delle ecchimosi:,riproduce sempre esattamente quello del mezzo di contrasto,riproduce approssimativamente quello del mezzo di contrasto,dipende dall'età del leso,dipende dalle condizioni anatomiche locali e dalla quantità di sangue travasato,dipende dal sesso del leso,D,Area Clinica 2017,medicina legale e sanità pubblica
1079,"Le informazioni circa prognosi gravi o infauste, secondo la norma del Codice deontologico,",possono essere fornite al paziente a discrezione del medico,vanno sempre comunicate al paziente con particolari modalità,vanno comunicate al paziente solo se si rendono necessari un intervento chirurgico o una terapia rischiosa,non vanno mai comunicate direttamente al paziente,vanno comunicate al paziente in forma parziale ed indiretta,B,Area Clinica 2017,medicina legale e sanità pubblica
1080,"Nessuno può essere obbligato ad un determinato trattamento sanitario, se non per disposizione di legge. Tale principio si trova così enunciato",Testo Unico delle Leggi Sanitarie,"nella Costituzione AREA CLINICA Pag. 184/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",nel Codice Civile,nel Codice penale,nella legge 180/1978,B,Area Clinica 2017,medicina legale e sanità pubblica
1081,Le seguenti malattie infettive sono soggette a denuncia all'autorita' pubblica:,morbillo,rabbia,tetano,epatite B,tutte le risposte indicate,E,Area Clinica 2017,medicina legale e sanità pubblica
1082,"La responsabilità penale, ex art. 27 della Costituzione, è:",delegabile,personale,Suddivisibile in contrattuale ed extracontrattuale,Individuabile solo per delitti procedibili d'ufficio,Individuabile solo per reati procedibili a querela,B,Area Clinica 2017,medicina legale e sanità pubblica
1083,La notifica di malattia infettiva all'autorita' pubblica deve essere fatta da:,medico di medicina generale,medico igienista,medico ospedaliero,medico pediatra,tutte le risposte indicate,E,Area Clinica 2017,medicina legale e sanità pubblica
1084,Le ipostasi,si ritrovano solo nelle zone declivi del decubito del soggetto,indicano sempre una morte violenta,sono un segno certo di morte,hanno sempre lo stesso colore,sono sempre indispensabili per risalire alla causa di morte,A,Area Clinica 2017,medicina legale e sanità pubblica
1085,Quale categoria di medici e' obbligata a prestare la propria opera in qualita' di ausiliari di polizia  giudiziaria?,Solo i medici di medicina generale,Solo gli specialisti in medicina legale,Solo i pubblici ufficiali,Solo i medici della Direzione sanitaria,Tutti i medici,E,Area Clinica 2017,medicina legale e sanità pubblica
1086,"Quale dei seguenti requisiti identifica la condizione di ""handicap"" nella legislazione corrente?","La minorazione fisica,psichica e sensoriale","La difficolta' nell'integrazione lavorativa AREA CLINICA Pag. 185/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",La difficolta' di apprendimento,La difficolta' nella vita di relazione,Lo svantaggio sociale e l'emarginazione,E,Area Clinica 2017,medicina legale e sanità pubblica
1087,Le lesioni silicotiche dal punto di vista anatomo-patologico hanno un aspetto che le distingue dalle altre forme di fibrosi polmonare in quanto:,interessano l'interstizio in maniera diffusa,hanno un aspetto nodulare,sono caratterizzate da edema e congestione della mucosa bronchiale,presentano una diffusa infiltrazione linfocitaria,hanno un aspetto a guscio d'uovo,B,Area Clinica 2017,medicina legale e sanità pubblica
1088,In quale patologia professionale è frequente il Fenomeno di Raynaud  o Del dito bianco?,Malattie da calore,Psiconevrosi professionale,Angioneurosi professionale,Gravi dermatosi professionali,Neuropatie tossiche,C,Area Clinica 2017,medicina legale e sanità pubblica
1089,Un operatore sanitario di un'azienda ospedaliera giunge alla tua osservazione per una dermatite alle mani. Quali esami prescriveresti per accertare se la dermatite è dovuta effettivamente all'uso di guanti?,Patch test,IgE totali,IgE specifiche,Elisa,Test arresto ripresa,A,Area Clinica 2017,medicina legale e sanità pubblica
1090,La disposizione spaziale delle nodulazioni  silicotiche  è  prevalentemente,Medio-basale,Medio-apicale,Diffusa,Ilare bilaterale,Non ha caratteristiche spaziali,B,Area Clinica 2017,medicina legale e sanità pubblica
1091,Il mesotelioma pleurico compare più frequentemente nella,Tubercolosi,Sarcoidosi,Asbestosi,Carcinoma bronchiale,Silicosi,C,Area Clinica 2017,medicina legale e sanità pubblica
1092,Quale terapia ritieni essere più corretta nell'intossicazione acuta da piombo,"spasmolitico AREA CLINICA Pag. 186/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",terapia con folati,miorilassanti,antiipertensivi,terapia chelante,E,Area Clinica 2017,medicina legale e sanità pubblica
1093,Il polmone del contadino(farmer's lung) è una malattia,Infettiva,Parassitaria,Allergica,Irritativa,Tossica,C,Area Clinica 2017,medicina legale e sanità pubblica
1094,In medicina del lavoro gli indicatori di effetto:,Evidenziano una ipersuscettibilità individuale,Evidenziano effetti tardivi per esposizione a tossici,Sono indicatori dell'avvenuta esposizione a un tossico,Esprimono concentrazioni di inquinanti nell'ambiente di lavoro,Evidenziano effetti biologici precoci per esposizione a tossici,E,Area Clinica 2017,medicina legale e sanità pubblica
1095,Le alveoliti allergiche estrinseche sono patologie professionali peculiari di quale tra le seguenti categorie di lavoratori?,minatori di carbone,contadini e allevatori di piccioni,lavoratori dell'edilizia,saldatori,tipografi,B,Area Clinica 2017,medicina legale e sanità pubblica
1096,Le lesioni silcotiche colpiscono di preferenza:,i lobi polmonari superiori,i lobi polmonari inferiori,il polmone destro,il polmone sinistro,la pleura diaframmatica,A,Area Clinica 2017,medicina legale e sanità pubblica
1097,Quale delle seguenti occupazioni comporta rischio di patologia del rachide?,Videoterminalista,Guardia notturna,Bidello,Tecnico del suono,Operatore cinematografico,A,Area Clinica 2017,medicina legale e sanità pubblica
1098,A quale di queste   noxae professionali  si ascrive una caratteristica pancitopenia?,"Benzina AREA CLINICA Pag. 187/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Piombo,Arsenico,Benzene,Mercurio,D,Area Clinica 2017,medicina legale e sanità pubblica
1099,In quali di questi lavoratori è presente il rischio da epatite C,Saldatori,Tipografi,Netturbini,Verniciatori,Meccanici di automobili,C,Area Clinica 2017,medicina legale e sanità pubblica
1100,Le alterazioni a lungo termine causate da posture incongrue e da movimentazione di carichi riguardano soprattutto:,la muscolatura interessata,l'articolazione del ginocchio,l'articolazione scapolo-omerale,l'articolazione del gomito,la colonna vertebrale nel tratto dorso-lombo-sacrale,E,Area Clinica 2017,medicina legale e sanità pubblica
1101,Quali delle seguenti noxae  può provocare angiosarcoma epatico?,Acrilonitrile,Polibutadiene monomero,Cloruro di vinile monomero,Tetracloruro di carbonio,Fosforo bianco,C,Area Clinica 2017,medicina legale e sanità pubblica
1102,La silicosi e' una pneumoconiosi sclerogena caratterizzata dal punto di vista istopatologico da:,placche pleuriche,granulomi linfo-istiocitari,fibrosi interstiziale diffusa,lesioni fibrotiche nodulari del parenchima polmonare,Infiltrazione peribronchiale,D,Area Clinica 2017,medicina legale e sanità pubblica
1103,"Un tuo paziente di 35 anni ti chiede consiglio prima di cambiare lavoro. Tenendo presente che e' un fumatore incallito, a quale dei seguenti fattori di rischio lo consiglieresti di non esporsi?",Piombo inorganico,Radiazioni ionizzanti,Rumore,Tricloroetilene,Amianto,E,Area Clinica 2017,medicina legale e sanità pubblica
1104,L'angiosarcoma epatico può avere origine professionale da:,"Radiazioni ionizzanti AREA CLINICA Pag. 188/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Arsenicato di Piombo,Cloruro di calcio,Manganese ossido,Cloruro di vinile monomero,E,Area Clinica 2017,medicina legale e sanità pubblica
1105,L'apparato più esposto alle noxae oncogene è:,Apparato respiratorio,Apparato digerente,Sistema nervoso centrale,Apparato locomotore,Apparato cardio-vascolare,A,Area Clinica 2017,medicina legale e sanità pubblica
1106,Il caratteristico grisou di miniera contiene fondamentalmente,Silice,Metano,Acido cianidrico,Acido solfidrico,Monossido di carbonio,B,Area Clinica 2017,medicina legale e sanità pubblica
1107,Quale tra i seguenti interventi preventivi deve essere considerato prioritario in tema di rischio da rumore?,riduzione dei tempi di esposizione dei lavoratori,aumento della frequenza delle indagini audiometriche,utilizzo di cuffie,utilizzo di tappi auricolari,insonorizzazione delle macchine,E,Area Clinica 2017,medicina legale e sanità pubblica
1108,Complicanze della asbestosi,Tubercolosi,Granuloma eosinofilo,Mesotelioma pleurico,Pleurite virale,Broncopolmonite batterica,C,Area Clinica 2017,medicina legale e sanità pubblica
1109,"Il signor Roberto, fonditore di ghisa, lamenta da qualche anno dispnea da sforzo, tosse produttiva ed espettorazione per periodi di 2/3 mesi all'anno. Il sospetto diagnostico formulato dal medico curante è di silicosi. Per confermare la responsabilità delle polveri silicee come fattore eziologico viene effettuata una indagine ambientale. Quali dimensioni devono avere le particelle inalate, per essere ritenute responsabili della silicosi?",1000 micron,100 micron,50 micron,0.5 - 5 micron,< 0.1 micron,D,Area Clinica 2017,medicina legale e sanità pubblica
1110,"Nella intossicazione da organofosfati trova indicazione: AREA CLINICA Pag. 189/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Acetilcolina,Atropina,Metacolina,Camera iperbarica,Infusione di alcalinizzanti,B,Area Clinica 2017,medicina legale e sanità pubblica
1111,L'eczema da contatto è devoto a:,Immunoreazione del tipo II di Gell-Coombs,Immunoreazione del tipo IV di Gell-Coombs,Reazione IgE-mediata,Agente virale,Una Clamydia,B,Area Clinica 2017,medicina legale e sanità pubblica
1112,Il Classico orletto di Burton è tipico nelle patologie da,Vanadio,Mercurio,Cadmio,Piombo,Molibdeno,D,Area Clinica 2017,medicina legale e sanità pubblica
1113,Nel mercurialismo cronico si rileva tipicamente:,Paralisi del radiale,Tremore,Iporeflettività osteotendinea,Ipersonnia,Emianoxia,B,Area Clinica 2017,medicina legale e sanità pubblica
1114,Si ha perforazione nel setto nasale per esposizione a:,Piombo,Tricloroetilene,Cromo esavalente,Asbesto,Radiazioni non ionizzanti,C,Area Clinica 2017,medicina legale e sanità pubblica
1115,La più frequente complicanza della silicosi è,La siderosi,La tubercolosi,La sindrome asmatica,Talcosi,Sarcoidosi,B,Area Clinica 2017,medicina legale e sanità pubblica
1116,"Il prick test è una prova cutanea per: AREA CLINICA Pag. 190/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Allergia IgE mediata,Dermatite allergica da contatto,Dermatite irritativa da contatto,Tubercolosi cutanea,Sarcoidosi,A,Area Clinica 2017,medicina legale e sanità pubblica
1117,L'ulcera del setto nasale può comparire nei lavoratori che sono esposti a:,piombo,mercurio,cadmio,cromo,manganese,D,Area Clinica 2017,medicina legale e sanità pubblica
1118,Quale dei suddetti dati ematochimici è indicativo di epatopatia tossica,Gamma-GT,Diminuzione di bilirubina totale,Alterazione prove colloidali,Aumento fosfatasi acido,Aumento tempo di Quick,A,Area Clinica 2017,medicina legale e sanità pubblica
1119,La tossicità di una sostanza dipende essenzialmente:,dalla sua costituzione chimica,dal suo grado di solubilità,dalla dose e dalla via di somministrazione,dalla struttura molecolare,dal suo grado di ionizzazione,C,Area Clinica 2017,medicina legale e sanità pubblica
1120,Con il termine pneumoconiosi sclerogena s'intende:,un accumulo di fibre nei polmoni,un accumulo di polvere nei polmoni,"un accumulo di polvere nei polmoni con con conseguente reazione tissutale collagena","un accumulo di polvere nei polmoni con con conseguente reazione tissutale non collagena",un particolare tipo di alveolite allergica estrinseca,C,Area Clinica 2017,medicina legale e sanità pubblica
1121,Quale di questi segni clinici consente di orientarci nella diagnosi per colica saturnina anziché per una peritonite acuta diffusa:,dolore addominale diffuso,dolore che si attenua con la pressione dell'addome,dolore in sede epatica,notevole riduzione della profondità degli atti respiratori,stato di agitazione con psiche lucida,B,Area Clinica 2017,medicina legale e sanità pubblica
1122,"Il lavoro muscolare AREA CLINICA Pag. 191/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Trasforma energia chimica in energia meccanica,Sviluppa energia termica con elevati costi energetici,Trasforma energia elettrica in movimento e forza,Trasforma il calore in energia meccanica,Ha costi energetici influenzati dallo stress,A,Area Clinica 2017,medicina legale e sanità pubblica
1123,Tumori professionali del fegato possono essere indotti,Da nitrosamine,Da cloruro di vinile monomero,Da Nichel,Da radiazioni ionizzanti,Da acrilonitrile,B,Area Clinica 2017,medicina legale e sanità pubblica
1124,Un operatore sanitario durante un'attivita' di prelievo ematico si punge con una siringa.Quale infezione e' maggiormente probabile tenendo conto della copertura vaccinale?,HIV,HBV,HCV,TB,Sifilide,C,Area Clinica 2017,medicina legale e sanità pubblica
1125,Quali tra le seguenti categorie mediche è più esposto a radiazioni ionizzanti?,Nefrologo,Endocrinologo,Ortopedico,Dermatologo,Ecografista,C,Area Clinica 2017,medicina legale e sanità pubblica
1126,Quale è la causa  del Polmone del contadino?,Un batterio specifico,Un gruppo di micromiceti,Il lavoro all'aperto,Le variazioni climatiche,L'iperventilazione ventilatoria,B,Area Clinica 2017,medicina legale e sanità pubblica
1127,La rendita derivante da infortunio sul lavoro è cumulabile con quella conseguita in ambito di invalidità civile,Solo se attiene alla stessa patologia,sempre,in nessun caso,se non attiene alla stessa patologia,se la rendita complessiva è inferiore ai limiti previsti dalla legge,B,Area Clinica 2017,medicina legale e sanità pubblica
1128,"Medico Autorizzato é: AREA CLINICA Pag. 192/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Medico addetto alle misure di Pubblica Sicurezza,Medico dell'Autorità Giudiziaria,Medico specialista addetto alla sorveglianza medica della radioprotezione,Medico di fabbrica addetto all'assistenza,Consulente del Datore di Lavoro per gli aspetti sanitari,C,Area Clinica 2017,medicina legale e sanità pubblica
1129,Tumori professionali dei seni paranasali possono essere indotti,Da glicoli,Da amianto,Da amine aromatiche,Da cromo esavalente,Da polvere di legno,E,Area Clinica 2017,medicina legale e sanità pubblica
1130,"Arriva al P.S. un lavoratore agricolo con incontinenza urinaria e fecale, vertigini, astenia, vomito, diarrea, pupille puntiformi. Che sostanza sospetti come responsabile del quadro clinico?",Piombo,Cromo,Oppiacei,Parathion,Solfato di rame,D,Area Clinica 2017,medicina legale e sanità pubblica
1131,"Il sig. Rossi, forte fumatore si reca dal dott. Bianchi. Il sig. Rossi è preoccupato per la progressiva perdita di peso (10 kg in 4 mesi) e la comparsa di astenia generalizzata, ipostenia degli arti superiori e dispnea da sforzo. Dall'anamnesi professionale emerge che il sig. Rossi e' addetto alla pavimentazione stradale mediante asfaltatura da circa 20 anni. Cosa potrebbe sospettare il dott. Bianchi sulla base di tali informazioni?",asma bronchiale,cancro polmonare,embolia polmonare,tubercolosi polmonare,timoma,B,Area Clinica 2017,medicina legale e sanità pubblica
1132,Una caratteristica necessaria dell'ipoacusia da rumore è:,l'interessamento esclusivo delle frequenze superiori a 6000 Hz,l'interessamento esclusivo delle frequenze intermedie,l'interessamento esclusivo delle basse frequenze,la bilateralità simmetrica,la monolateralità con deficit percettivo,D,Area Clinica 2017,medicina legale e sanità pubblica
1133,Quale dei seguenti tessuti è più sensibile alle radiazioni ionizzanti?,tessuto osseo,tessuto nervoso,tessuto muscolare,tessuto tiroideo,"tessuto emopoietico AREA CLINICA Pag. 193/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",E,Area Clinica 2017,medicina legale e sanità pubblica
1134,La periodicità degli accertamenti sanitari nell'esposizione a rumore è:,sempre biennale,correlata all'entità del rischio,sempre annuale,correlata all'età del soggetto,variabile a seconda dei precedenti tracciati,B,Area Clinica 2017,medicina legale e sanità pubblica
1135,Si può fare diagnosi di malattia professionale allorquando tale patologia:,sia causata da fattori di rischio presenti negli ambienti di lavoro,sia presente in un particolare elenco di malattie,sia presente in particolari elenchi oppure sia possibile dimostrare il rapporto causale con l'attività,sia in qualche misura correlata con il lavoro,sia presente con una incidenza più elevata in gruppi di lavoratori,C,Area Clinica 2017,medicina legale e sanità pubblica
1136,In quali di questi lavoratori è più frequente l'osservazione di carcinoma della vescica:,radiologi,minatori dell'asbesto,lavoratori dei coloranti di anilina,falegnami,pescatori,C,Area Clinica 2017,medicina legale e sanità pubblica
1137,Quale delle seguenti attività lavorative comporta in misura più elevata il rischio silicotigeno?,fonderia di ghisa,estrazione del quarzo,industria alimentare,industria del refrattario,industria della gomma,B,Area Clinica 2017,medicina legale e sanità pubblica
1138,Da quale causa  origina la silicosi?,Dall'ingestione di polveri silicee,Dal lavoro in minicra di carbone,Dal lavoro al chiuso,Dal lavoro in sotterraneo,Dall'inalazione di polveri di silice cristallina,E,Area Clinica 2017,medicina legale e sanità pubblica
1139,Il test arresto-ripresa è utile nella diagnosi di quale tecnopatia,Patìa da Vanadio,Asma professionale,Silicosi,Asbestosi,Benzolismo,B,Area Clinica 2017,medicina legale e sanità pubblica
1140,"L'asbestosi parenchimale iniziale si localizza prevalentemente: AREA CLINICA Pag. 194/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",ai lobi superiori,ai lobi inferiori,al polmone sinistro,alla pleura parietale,alla pleura viscerale,B,Area Clinica 2017,medicina legale e sanità pubblica
1141,Quale reperto radiologico è TIPICO per lo stadio precoce della silicosi:,"Noduli di diametro superiore a 1,5 mm",Cavitazione ed iperluminosità dei campi polmonari superiori,Reticolazione del disegno polmonare,Iperdiafania degli apici,Pneumotorace,C,Area Clinica 2017,medicina legale e sanità pubblica
1142,L'esposizione professionale a piombo è particolarmente nociva nelle seguenti condizioni fisiologiche o patologiche:,diabete,menopausa,gravidanza,gotta,attività sportiva,C,Area Clinica 2017,medicina legale e sanità pubblica
1143,L'Indice di Tiffenau in corso di asma professionale risulta:,invariato,aumentato,ridotto,aumentato solo nelle fasi iniziali,ridotto solo in fase tardiva,C,Area Clinica 2017,medicina legale e sanità pubblica
1144,Cute color rosso ciliegia è indicativa di:,Feocromocitoma,Avvelenamento da ossido di carbonio,Coma carbonarcotico,Siderosi,LES,B,Area Clinica 2017,medicina legale e sanità pubblica
1145,Ai carbammati sono tipicamente esposti,Analisti,Minatori,Agricoltori,Militari,Saldatori,C,Area Clinica 2017,medicina legale e sanità pubblica
1146,"Gli isocianati sono: AREA CLINICA Pag. 195/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",agenti asmogeni professionali ad alto peso molecolare,agenti asmogeni professionali a basso peso molecolare,agenti cancerogeni,agenti mutageni,agenti asmogeni di origine animale,B,Area Clinica 2017,medicina legale e sanità pubblica
1147,Le zoonosi sono malattie,da agenti fisici,da agenti tossici,da agenti biologici,allergiche,da agenti irritanti,C,Area Clinica 2017,medicina legale e sanità pubblica
1148,Il tracciato audiometrico nell'ipoacusia da rumore dimostra un deficit di tipo:,percettivo,trasmissivo,misto,monolaterale,Solo per le alte frequenze,A,Area Clinica 2017,medicina legale e sanità pubblica
1149,La silicosi è riconosciuta malattia di origine professionale quando,è associata esclusivamente a tubercolosi (silico-tubercolosi),è correlata all'inalazione di polveri ad alto contenuto di silice libera cristallina,è riscontrata in addetti alla macinazione del cloruro di sodio,all'esame radiografico si osservano solo opacità rotondeggianti di 3 mm,la sintomatologia insorge in orario di lavoro,B,Area Clinica 2017,medicina legale e sanità pubblica
1150,Gli  Idrocarburi aromatici policiclici risultano oncogeni per,Bronchi,Gonadi,Ossa,Cervello,Fegato,A,Area Clinica 2017,medicina legale e sanità pubblica
1151,L'antracosi è:,L'infezione contratta dai minatori che lavorano in ambiente umido,Una pneumoconiosi degli addetti all'estrazione dell'asbesto,Una pneumoconiosi dei minatori del quarzo,Una pneumoconiosi dei minatori del carbone,Una complicanza della silicosi,D,Area Clinica 2017,medicina legale e sanità pubblica
1152,"Quali dei seguenti  elementi chimici è sicuramente oncogeno per l'Uomo? AREA CLINICA Pag. 196/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Piombo,Mercurio,Zinco,Cromo esavalente,Titanio,D,Area Clinica 2017,medicina legale e sanità pubblica
1153,A seguito di un infortunio sul lavoro viene corrisposta dall'INAIL una rendita al lavoratore infortunato se residua una invalidità permanente maggiore del,10%,20%,25%,5%,1%,A,Area Clinica 2017,medicina legale e sanità pubblica
1154,L'infortunio sul lavoro può essere definito come:,un danno alla persona determinato da una causa lesiva di natura extraprofessionale che agisce in maniera diluita nel tempo,un danno alla persona determinato da una causa lesiva che agisce in 2 giorni,un danno alla persona determinato da una causa lesiva che agisce in maniera diluita nel tempo.,"un danno alla persona da una causa lesiva, presente in ambiente di lavoro, che agisce in un breve periodo di tempo",un danno alla persona determinato da una malattia infettiva che agisce in maniera diluita nel tempo,D,Area Clinica 2017,medicina legale e sanità pubblica
1155,Patogenesi della silicosi,Effetto tossico sui macrofagi,Effetti irritativi sulla parete bronchiale,Bronchiolostenosi,Attivazione del complemento,Stimolazione della proliferazione dei fibroblasti e dei linfociti T,E,Area Clinica 2017,medicina legale e sanità pubblica
1156,Quali sono le malattie professionali attualmente di piu' frequente riscontro in ambito industriale:,le pneumoconiosi,le malattie angioneurotiche,le broncopneumopatie,l'ipoacusia e la sordita' da rumore,le dermatiti irritative e da contatto,D,Area Clinica 2017,medicina legale e sanità pubblica
1157,Quale delle seguenti patologie sono associate all'esposizione ad asbesto:,tubercolosi-pleurite,mesotelioma pleurico-cancro del polmone,mesotelioma pleurico-tumore renale,epitelioma dello scroto-tumore renale,carcinoma vescicale-asbestosi,B,Area Clinica 2017,medicina legale e sanità pubblica
1158,"La presenza di fibre di asbesto nell'espettorato indica: AREA CLINICA Pag. 197/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Malattia conclamata,Malattia terminale,Malattia iniziale,Esposizione all'asbesto,mesotelioma pleurico,D,Area Clinica 2017,medicina legale e sanità pubblica
1159,Quale dei seguenti nervi periferici è tipicamente leso dal Piombo?,Mediano,Femorale,Radiale,Sciatico,Tibiale,C,Area Clinica 2017,medicina legale e sanità pubblica
1160,Quali dei seguenti esami risulta di maggiore importanza per sospettare l'asma professionale:,Radiografia del torace,arresto ripresa,spirometria,test di provocazione bronchiale alla metacolina,dosaggio delle IgE totali,B,Area Clinica 2017,medicina legale e sanità pubblica
1161,Le vaccinazioni generalmente raccomandate negli operatori sanitari in Italia sono:,"HBV, Influenza, MPR, dTpa, Varicella, Meningococco","Solo le vaccinazioni obbligatorie per legge (Difterite, Tetano, Poliomielite e HBV)",Solo Morbillo e Varicella,"Solo Influenza, HBV, MPR","Solo Influenza, dTpa e, in casi selezionati, Meningococco tipo C",A,Area Clinica 2017,medicina legale e sanità pubblica
1162,"La profilassi post-esposizione per HIV, in caso d'infortunio professionale occorso in operatore  sanitario con paziente fonte con stato sierologico sconosciuto, prevede:","sempre l'inizio della profilassi post-esposizione con farmaci antiretrovirali, preferibilmente  entro 12 ore dall'evento, e comunque non oltre le 48 ore, a discrezione del medico competente","nessun trattamento urgente e una semplice valutazione sierologica basale con follow up  sierologico ai tempi 4-6-12 mesi dall'evento","una valutazione delle caratteristiche dell'evento accidentale e del materiale  contaminante, un'accurata anamnesi dello stato sierologico ed eventuale esecuzione della  viremia plasmatica e sequenziamento virale del paziente fonte, l'eventuale profilassi post- esposizione con farmaci antiretrovirali analogamente a quanto previsto in caso d'infortunio  biologico avvenuto con paziente fonte HIV-sieropositivo, a discrezione dell'infettivologo e/o del  medico di P.S., l'effettuazione di un test sierologico basale dell'operatore sanitario, con follow  up sierologico ai tempi 1-3-6 mesi dall'evento","nessun trattamento immediato; e' sufficiente un follow up sierologico a 4-6-12 mesi dall'evento  fino alla eventuale sieroconversione",nessun trattamento immediato; e' sufficiente un follow up sierologico a 12 mesi dall'evento fino,C,Area Clinica 2017,medicina legale e sanità pubblica
