,id,question,A,B,C,D,E,answer,category,macro category
376,377,quale tra i seguenti non è un uso terapeutico dei glucocorticoidi:,lupus eritematoso sistemico,artrite reumatoide,dermatosi infiammatorie,rigetto del trapianto d'organo,infezioni micotiche sistemiche,E,Area Preclinica 2018,farmacologia
377,378,qual è il meccanismo d'azione del vigabatrin?,inibisce i canali del na+,blocca i recettori ampa e kainato,inibisce l'enzima gaba transaminasi,stimola l'enzima gaba decarbossilasi,inibisce il neurotrasportatore per il gaba,C,Area Preclinica 2018,farmacologia
378,379,quale tra i seguenti oppiacei è un agonista parziale del recettore &#956;?,fentanyl,morfina,buprenorfina,metadone,remifentanil,C,Area Preclinica 2018,farmacologia
379,380,quale tra i seguenti farmaci è un inibitore selettivo per la cox-2?,ibuprofene,celecoxib,metamizolo,morniflumato,paracetamolo,B,Area Preclinica 2018,farmacologia
380,381,a quale dei seguenti effetti è associato l'uso della doxorubicina?,cardiopatia,mielosoppressione,tossicità gastrointestinale,nefrotossicità,nevralgia,A,Area Preclinica 2018,farmacologia
381,382,qual è il meccanismo d'azione del levetiracetam?,inibisce i canali del ca2+ di tipo t,blocca i recettori ampa e kainato,inibisce l'anidrasi carbonica,blocca i recettori nmda,interagisce con la proteina delle vescicole sinaptiche sv2a,E,Area Preclinica 2018,farmacologia
382,383,quale tra questi farmaci inibisce i recettori per i leucotrieni?,montelukast,beclometasone,acido acetilsalicilico,indometacina,zileuton,A,Area Preclinica 2018,farmacologia
383,384,quale tra questi non è un effetto collaterale della morfina?,costipazione addominale,nausea,depressione respiratoria,diarrea,immunosoppressione,D,Area Preclinica 2018,farmacologia
384,385,quale delle seguenti affermazioni sul topiramato è corretta?,e' un inibitore metabolico,potenzia l'attività dell' anidrasi carbonica,blocca il recettore nmda,è efficace nelle assenze in monoterapia,possiede un meccanismo d'azione ad ampio spettro,E,Area Preclinica 2018,farmacologia
385,386,quale delle seguenti affermazioni sull'azitromicina è corretta?,è un antibiotico tempo-dipendente,ha uno spettro d'azione selettivo per i gram +,presenta post-antibiotic effect,inibisce diverse isoforme del cyp450,ha uno spettro d'azione ristretto,C,Area Preclinica 2018,farmacologia
386,387,quale delle seguenti affermazioni sul tramadolo è corretta?,non è un profarmaco,è un oppiaceo forte,determina il blocco selettivo della ricaptazione della noradrenalina,potenzia le vie discendenti attraverso l'agonismo parziale sul recettore &#956; e il blocco della ricaptazione della 5ht e della na,è un antagonista k,D,Area Preclinica 2018,farmacologia
387,388,qual è il meccanismo d'azione della tiagabina?,inibisce i canali del ca2+ di tipo t,blocca i recettori ampa e kainato,inibisce l'enzima gaba transaminasi,stimola l'enzima gaba decarbossilasi,inibisce il neurotrasportatore per il gaba,E,Area Preclinica 2018,farmacologia
388,389,qual è il meccanismo d'azione dell'aripiprazolo?,agonismo parziale sui recettori d2,antagonismo d2 e 5ht2,inibizione selettiva della ricaptazione della serotonina,"antagonismo d2, &#945;1, m1 e h1",inibizione del reuptake della serotonina e della noradrenalina,A,Area Preclinica 2018,farmacologia
389,390,qual è l'antibiotico di prima scelta per il trattamento dell'infezione delle vie urinarie da escherichia coli?,bacitracina,cloxacilina,ampicillina,meticillina,difenidramina fisiologia,C,Area Preclinica 2018,farmacologia
390,391,quale dei seguenti ormoni endogeni tende a diminuire la glicemia ?,glucagone,gh (ormone della crescita),somatostatina,epinefrina,ormone tiroideo,C,Area Preclinica 2018,fisiologia
391,392,un insufficiente stato nutrizionale proteico-calorico è associato a:,diminuzione della concentrazione di gamma-globuline,aumento della concentrazione di aptoglobina,diminuzione dei livelli di prealbumina,aumento dei livelli di alfa-fetoproteina,aumento della sintesi degli enzimi digestivi,C,Area Preclinica 2018,fisiologia
392,393,durante l'esercizio fisico intenso può svilupparsi una condizione di blanda acidosi. il sistema tampone principale risponde a questa alterazione mediante:,eliminazione di co2 dai polmoni,ritenzione di co2 da parte dei polmoni,escrezione di ioni idrossido attraverso il rene,escrezione di acido attraverso il rene,ritenzione di ioni bicarbonate attraverso il rene,A,Area Preclinica 2018,fisiologia
393,394,il galattosio è:,"un monosaccaride che, insieme al glucosio, costituisce il lattosio",un disaccaride che viene scisso in lattosio e glucosio,un oligosaccaride la cui digestione produce soltanto glucosio,"un monosaccaride che, insieme al fruttosio, costituisce il saccarosio",un trisaccaride che viene scisso in maltosio e glucosio,A,Area Preclinica 2018,fisiologia
394,395,"se in un paziente alimentato per via para-enterale il bilancio azotato rimane negativo benché sia ampiamente coperta la quota di usura delle proteine, è necessario:",aumentare la quota di aminoacidi essenziali,diminuire la quota di aminoacidi essenziali,modificare la composizione in aminoacidi,somministrare vitamine del gruppo b,aumentare la quantità di glucosio,E,Area Preclinica 2018,fisiologia
395,396,quale tra le seguenti condizioni non indica acidosi metabolica:,infusione di cloruro di sodio,digiuno,avvelenamento da salicilato,terapia con diuretici,chetoacidosi diabetica,D,Area Preclinica 2018,fisiologia
396,397,del colesterolo si può affermare che:,non viene sintetizzato nell'uomo ma deve essere assunto con la dieta,è solubile nel plasma in presenza di sodio,rappresenta il precursore degli ormoni steroidei e degli acidi biliari,è un metabolita del testosterone,viene escreto del rene,C,Area Preclinica 2018,fisiologia
397,398,i citocromi sono proteine coniugate con:,nucleotidi,zolfo,ferro,lipidi,magnesio,C,Area Preclinica 2018,fisiologia
398,399,in che forma viene eliminato l'azoto presente nell'anello delle basi puriniche?,acido urico,urea,acido glucuronico,ammoniaca,xantina,A,Area Preclinica 2018,fisiologia
399,400,in quale dei seguenti processi si ha una reazione di ossidazione ?,ciclo dell'ornitina,glicolisi anaerobia,decarbossilazione del glutamato,trasformazione del glucoso 6 fosfato in fruttoso 6 fosfato,transaminazione del glutamato con il piruvato,B,Area Preclinica 2018,fisiologia
400,401,un trigliceride è formato da:,tre molecole di glicerina legate tra di loro,una molecola di glicerina legata a tre amminoacidi,una molecola di glicerina legata a tre molecole di colesterolo,una molecola di glicerina legata a tre acidi grassi,una molecola di glicerina legata a tre molecole di monosaccaridi,D,Area Preclinica 2018,fisiologia
401,402,in quale delle seguenti lipoproteine plasmatiche vi è maggior concentrazione di colesterolo ?,chilomicroni,hdl,idl,ldl,vldl,D,Area Preclinica 2018,fisiologia
402,403,quale tra le seguenti affermazioni riguardanti l'urobilinogeno non è corretta:,è incolore,è soggetto ad una significativa circolazione entero-epatica,i livelli urinari aumentano in seguito ad ostruzione delle vie biliari,i livelli fecali diminuiscono in seguito a ostruzione delle vie biliari,è normalmente presente nell'urina,C,Area Preclinica 2018,fisiologia
403,404,l'immunità umorale è mediata da:,immunoglobuline,macrofagi,linfociti t,eritrociti,epatociti,A,Area Preclinica 2018,fisiologia
404,405,quale dei seguenti gruppi sono aminoacidi essenziali?,valina / cisteina / triptofano,alanina / cisteina / triptofano,leucina / fenilalanina / metionina,leucina / fenilalanina / cisteina,isoleucina / serina / metionina,C,Area Preclinica 2018,fisiologia
405,406,quale fra i seguenti parametri è più elevato nel sangue arterioso rispetto a quello venoso?,pressione di anidride carbonica,pressione di ossigeno,concentrazione di bicarbonati,concentrazione di ammonio,concentrazione di acido lattico,B,Area Preclinica 2018,fisiologia
406,407,"quale dei seguenti ossidi, in acqua, dà una soluzione acida?",ossido di sodio,ossido di carbonio,ossido di calcio,biossido di carbonio,ossido di cesio,D,Area Preclinica 2018,fisiologia
407,408,quale di questi composti non e' correttamente definito con la corrispondente sigla della vitamina?,acido ascorbico - vitamina c,alfa-tocoferolo - vitamina e,piridossalfosfato - vitamina b2,tiamina - vitamina b1,cianocobalamina - vitamina b12,C,Area Preclinica 2018,fisiologia
408,409,"nella chetoacidosi diabetica, per quale delle seguenti funzioni il glicerolo viene principalmente usato ?",per la sintesi di trigliceridi negli epatociti,per la sintesi di trigliceridi nel tessuto adiposo,come substrato per la gluconeogenesi,direttamente come substrato dai muscoli,come substrato per la sintesi di acidi grassi,C,Area Preclinica 2018,fisiologia
409,410,una molecola è detta polare se?,è composta da un numero dispari di atomi,è composta da un numero pari di atomi,è formata da ioni,assume una orientazione preferenziale se posta in un campo elettrico,mira verso il polo negativo di una cella elettrolitica,D,Area Preclinica 2018,fisiologia
410,411,quali delle seguenti affermazioni riguardanti le cellule nervose mature è corretta?,non sintetizzano rna messaggeri,non sintetizzano proteine,hanno attiva la beta-ossidazione,utilizzano i corpi chetonici,non hanno attiva la fosforilazione ossidativa,D,Area Preclinica 2018,fisiologia
411,412,il ciclo dei pentosi e' importante per il metabolismo cellulare perche' produce:,nadh,acetil-coa,nadph,atp,adp,C,Area Preclinica 2018,fisiologia
412,413,quali delle seguenti considerazioni relative al tessuto muscolare scheletrico è corretta?,l'acido lattico prodotto a livello muscolare viene immesso in circolo e successivamente captato dal fegato che può utilizzarlo per la sintesi di glucosio,e' in grado di formare atp da due molecole di amp ad opera dell'enzima miochinasi,non è in grado di utilizzare fosfocreatina per la produzione di atp,non e' in nessun caso in grado di utilizzare a scopo energetico gli acidi grassi,"nelle fasi di digiuno prolungato, il suo glicogeno e' utilizzato per normalizzare la glicemia, grazie alla presenza dell'enzima glucosio-6-fosfato fosfatasi",A,Area Preclinica 2018,fisiologia
413,414,quale tra le seguenti affermazioni concernenti la funzione renale e l'equilibrio acido-base non è vera?,il riassorbimento dell'acqua a livello renale dipende esclusivamente dal riassorbimento del sodio,normalmente viene riassorbita la quasi totalità dell'acqua passata nell'ultrafiltrato glomerulare,quando la glicemia supera un valore critico (soglia renale) il glucosio compare nelle urine,i reni intervengono nella regolazione del ph del plasma,il sangue venoso è più acido di quello arterioso,A,Area Preclinica 2018,fisiologia
414,415,la più alta riserva di energia (kcal/g) si ritrova:,nelle proteine,carboidrati,grassi,"nelle proteine, carboidrati e grassi in egual quantita",nelle proteine e grassi in egual quantità,C,Area Preclinica 2018,fisiologia
415,416,dopo un pasto ricco in carboidrati quale tra gli eventi caratteristici del tessuto adiposo non si verifica ?,accelerazione della lipolisi,defosforilazione della lipasi endocellulare ormono-sensibile,permeabilizzazione al glucosio stimolata da insulina,conversione del glucosio a glicerolo-3-p per la sintesi dei trigliceridi,attivazione della lipoprotein-lipasi,A,Area Preclinica 2018,fisiologia
416,417,una delle principali funzioni dell'insulina in termini di metabolismo energetico consiste in:,stimolazione della gluconeogenesi epatica,inibizione della sintesi di triacilgliceroli,stimolazione della produzione epatica di corpi chetonici,inibizione della sintesi di glicogeno.,stimolazione della sintesi di glicogeno e proteine nel fegato,E,Area Preclinica 2018,fisiologia
417,418,i carboidrati sono costituiti da:,polimeri,acidi policarbossilici,polieni,poliidrossialdeidi o poliidrossichetoni,polisaccaridi,D,Area Preclinica 2018,fisiologia
418,419,"un giovane di 17 anni viene trasportato al pronto soccorso in stato comatoso senza segni visibili di trauma. il ph del sangue risulta di 7,1. l'emogasanalisi indica un pco2 di 23 mm hg, e un bicarbonato di 10 meq/l. che tipo di alterazione del sistema acido-base presenta il paziente?",acidosi metabolica,acidosi respiratoria,alcalosi respiratoria,alcalosi metabolica,nessuna alterazione,A,Area Preclinica 2018,fisiologia
419,420,la via metabolica stimolata nel diabete mellito insulino-dipendente non controllato è:,la gluconeogenesi,la sintesi dell' eme,la glicogenosintesi,la glicogenolisi,l'ureogenesi,A,Area Preclinica 2018,fisiologia
420,421,nelle cellule eucariotiche la maggior parte degli enzimi del ciclo di krebs sono localizzati:,nel citosol,nella membrana mitocondriale interna,nei ribosomi,nella matrice mitocondriale,nella membrana mitocondriale esterna,D,Area Preclinica 2018,fisiologia
421,422,indicare il composto più ricco di ossigeno:,alchene,alcano,alcool monofunzionale,chetone monofunzionale,acido carbossilico monofunzionale,E,Area Preclinica 2018,fisiologia
422,423,"un giovane di 17 anni viene trasportato al pronto soccorso in stato comatoso senza segni visibili di trauma. il ph del sangue risulta di 7,6. l'emogasanalisi indica valori di pco2 pari a 44 mm hg e di bicarbonato pari a 30 meq/l. che tipo di alterazione del sistema acido-base presenta il paziente?",acidosi metabolica,acidosi respiratoria,alcalosi respiratoria,alcalosi metabolica,nessuna alterazione,D,Area Preclinica 2018,fisiologia
423,424,un uomo di 45 anni ha il seguente profilo lipidico: colesterolo = 350 mg/dl; hdl = 20 mg/dl; trigliceridi = 450 mg/dl. quale sarebbe il livello calcolato di ldl?,180 mg/dl,220 mg/dl,240 mg/dl,280 mg/dl,330 mg/dl,C,Area Preclinica 2018,fisiologia
424,425,in quale delle seguenti reazioni e' impiegato il succinil-coa?,beta-ossidazione acidi grassi,biosintesi della porfirina,transaminazione per formare l'acido glutammico,ciclo dei pentosi,transdesaminazione,C,Area Preclinica 2018,fisiologia
425,426,tra le seguenti affermazioni riguardanti la vitamina b12 (cobalamina) quale non è vera?,è sintetizzata nei batteri,contiene cobalto nel gruppo prostetico,la carenza provoca anemia perniciosa,è essenziale per l'attività di enzimi coinvolti in riarrangiamenti molecolari,è sintetizzata nell'uomo,E,Area Preclinica 2018,fisiologia
426,427,le soluzioni tampone sono formate:,da due basi deboli,da un acido forte ed una base forte,da due acidi deboli,da un acido debole e un suo sale derivato da una base forte,da un sale derivato da una base forte,D,Area Preclinica 2018,fisiologia
427,428,la concentrazione media della emoglobina nel globulo rosso è pari a,14-18 %,20-24 %,32-36 %,50-60 %,90-100 %,C,Area Preclinica 2018,fisiologia
428,429,le fibre muscolari scheletriche tipo ia (fibre rosse) hanno:,ridotta attività respiratoria,basso contenuto in mioglobina,elevata attività glicolitica,alto numero di mitocondri,basso contenuto in citocromi,D,Area Preclinica 2018,fisiologia
429,430,il glucagone stimola:,la degradazione del glicogeno ed il rilascio di glucosio dal fegato,la glicolisi,la sintesi del glicogeno nel fegato,la sintesi del glicogeno nel muscolo,la sintesi delle basi puriniche,A,Area Preclinica 2018,fisiologia
430,431,le ldl (lipoproteine a bassa densità) trasportano:,il colesterolo dal fegato alla periferia,il colesterolo dalla periferia al fegato,gli ormoni steroidei,i chilomicroni,soltanto fosfolipidi,A,Area Preclinica 2018,fisiologia
431,432,attraverso quali delle seguenti reazioni la cellula produce il ribosio?,intermedi della glicolisi anaerobica,reazioni degli enzimi transchetolasi-transaldolasi,utilizzazione del lattosio,decarbossilazione acido piruvico,gluconeogenesi,B,Area Preclinica 2018,fisiologia
432,433,il precursore vitaminico dei coenzimi nicotinamidici è la vitamina,b1,b2,b6,b12,pp,E,Area Preclinica 2018,fisiologia
433,434,una condizione di digiuno prolungato causa:,diminuzione dei trigliceridi,diminuzione della bilirubina,aumento degli acidi grassi liberi,aumento del colesterolo,aumento della glicemia,C,Area Preclinica 2018,fisiologia
434,435,la gluconeogenesi epatica a partire dall'alanine richiede la partecipazione di quale delle seguenti sostanze?,glucosio-6-fosfato e piruvato chinasi,fosfofruttochinasi e piruvato carbossilasi,piruvato carbossilasi e fosfoenolpiruvato carbossilasi,"fruttosio 1,6-difosfatasi e piruvato chinasi",transaminasi e fosfofruttochinasi,C,Area Preclinica 2018,fisiologia
435,436,"la concentrazione di glucosio nel sangue, a digiuno, è circa:",180 mg/dl,90 g/dl,90 mg/l,5 mm,5 microm,D,Area Preclinica 2018,fisiologia
436,437,la fenilchetonuria è una malattia genetica dovuta a difetti:,nel catabolismo del triptofano.,nel catabolismo dell'alanina.,nel catabolismo dell'arginina.,nel catabolismo della fenilalanina.,nel catabolismo della tirosina,D,Area Preclinica 2018,fisiologia
437,438,quale tra questi composti è definito essenziale:,tiroxina,tirosina,acido arachidonico,piridossale,carnitina,D,Area Preclinica 2018,fisiologia
438,439,le hdl:,trasportano il colesterolo dalla periferia al fegato,trasportano colesterolo dal fegato al tessuto adiposo,rilasciano colesterolo nelle arterie,trasportano trigliceridi dal fegato al tessuto adiposo,trasportano glicolipidi dal fegato all'intestino,A,Area Preclinica 2018,fisiologia
439,440,quale tra le seguenti affermazioni riguardanti i mitocondri è vera?,sono presenti in tutte le cellule procariotiche,si trovano in tutte le cellule dell'organismo umano,contengono consistenti quantità di mioglobina,contengono dna e ribosomi,accumulano perossidi,D,Area Preclinica 2018,fisiologia
440,441,gli acidi grassi sono trasportati nel plasma da:,albumina,fosfolipasi a2,chilomicroni,acil coenzima a,carnitina,A,Area Preclinica 2018,fisiologia
441,442,come avviene l'ossidazione degli acidi grassi nell'uomo?,attraverso intermedi legati al coa-sh,avviene fuori dai mitocondri,richiede nadph+,e' esattamente l'inverso della sintesi degli acidi grassi,puo' avvenire anche anaerobicamente come per la glicolisi,A,Area Preclinica 2018,fisiologia
442,443,gli ormoni adrenalina e glucagone partecipano al controllo del metabolismo del glicogeno nei tessuti promuovendo:,la biosintesi della glicogeno sintetasi,l'attivazione della glicogeno fosforilasi,l'attivazione della glicogeno sintetasi,l'attivazione dell'enzima ramificante,l'attivazione della glucochinasi epatica,B,Area Preclinica 2018,fisiologia
443,444,l'utilizzazione ossidativi degli acidi grassi nell'uomo richiede:,una in saturazione degli acil-coa prodotta da un acil-coa deidrogenasi fad-dipendente,una in saturazione degli acil-coa prodotta da un acil-coa deidrogenasi microsomiale,nadp+,biotina,deidrogenasi nadph dipendenti,A,Area Preclinica 2018,fisiologia
444,445,"nell'uomo, il principale prodotto catabolico delle basi puriniche è:",urea,creatinina,ammoniaca,acido urico,glutammina,D,Area Preclinica 2018,fisiologia
445,446,"nell'uomo, in condizioni di buona alimentazione:",il piruvato proveniente dalla degradazione di aminoacidi proteici viene utilizzato per la gluconeogenesi,l'insulina riduce la sintesi di trigliceridi negli epatociti,l'albumina plasmatica trasporta acidi grassi dal fegato e dall'intestino al tessuto adiposo,la glicolisi epatica risulta inibita,vengono ripristinate le scorte di glicogeno epatico,E,Area Preclinica 2018,fisiologia
446,447,il glicogeno:,è una macromolecola con struttura ad alfa-elica,è un polisaccaride acido,costituisce la principale riserva di energia nell'organismo umano,la sua biogenesi è favorita da glucagone,si accumula in quantità eccessive in alcune malattie metaboliche ereditarie,E,Area Preclinica 2018,fisiologia
447,448,la forma biologicamente attiva della vitamina d è:,il colecalciferolo,il 24-idrossicolecalciferolo.,il 25-idrossicolecalciferolo.,"l' 1,25-diidrossicolecalciferolo","il 24,25-diidrossicolecalciferolo.",D,Area Preclinica 2018,fisiologia
448,449,quale delle seguenti affermazioni riguardanti eventi che si verificano in seguito a lesione vascolare è corretta?,aggregazione dei monomeri di trombina a formare un coagulo permanente,lisi degli eritrociti che porta alla liberazione di prostanoidi che attivano l'aggregazione piastrinica,formazione di trombina da protrombina per azione diretta di un fattore tissutale,vasocostrizione locale e aggregazione delle piastrine con formazione di un coagulo provvisorio,aumento della sintesi epatica vitamina d-dipendente di protrombina modificata,D,Area Preclinica 2018,fisiologia
449,450,quale tra questi ormoni ha il maggiore effetto iperglicemizzante?,adrenalina,glucagone,insulina,gh,lh,B,Area Preclinica 2018,fisiologia
450,451,a seguito di un ricco pasto proteico i processi metabolici più stimolati sono:,glicogenosintesi,gluconeogenesi,shunt dell'esosomonofosfato,glicogenolisi,lipolisi,B,Area Preclinica 2018,fisiologia
451,452,quale delle seguenti coppie costituisce una soluzione tampone?,"carbonato di sodio, carbonato acido di sodio","nitrato di sodio, acido nitrico","cloruro di ammonio, acido cloridrico","idrossido di sodio, acido cloridrico","ammoniaca, idrossido di sodio",A,Area Preclinica 2018,fisiologia
452,453,"gli ormoni dello stress (catecolamine, cortisolo) stimolano i seguenti processi:",glicogenosintesi / gluconeogenesi / lipolisi,glicogenolisi / gluconeogenesi / lipolisi,lipolisi / proteolisi / ammoniolisi,glicogenolisi / gluconeogenesi / ammoniolisi,glicogenolisi / gluconeogenesi / ormonolisi,B,Area Preclinica 2018,fisiologia
453,454,quali delle seguenti affermazioni riguardanti la gluconeogenesi è corretta?,è stimolata dall'insulina,si verifica in tutti i tessuti dell'organismo,ha come principali precursori gli aminoacidi,è massima dopo un pasto ricco in carboidrati,è depressa dai glucocorticoidi,C,Area Preclinica 2018,fisiologia
454,455,nella emoglobina l'ossido di carbonio si lega,al ferro dell'eme in forma ferrica,al ferro dell'eme in forma ferrosa,"al ferro dell'eme, sia in forma ferrica che ferrosa",alle catene globiniche in sostituzione della co2,ai gruppi aminici liberi della lisina delle catene globiniche,B,Area Preclinica 2018,fisiologia
455,456,una soluzione il cui ph non cambia per aggiunta di una piccola quantità di acido o base forte è?,una soluzione tampone,un colloide protettore,una soluzione di un acido debole,una soluzione di una base debole,una soluzione ideale,A,Area Preclinica 2018,fisiologia
456,457,"quale dei seguenti enzimi del metabolismo glucidico funziona nel fegato, ma non nel muscolo?",esochinasi,fosfoglucolmutasi,glucosio-6 fosfatasi,lattico deidrogenasi,trigliceride lipasi,C,Area Preclinica 2018,fisiologia
457,458,il tessuto adiposo bruno ha essenzialmente una funzione,termogenica,di deposito,ossidativa,di produzione di secondi messaggeri lipidici,lipogenica,A,Area Preclinica 2018,fisiologia
458,459,quale di queste patologie è causata da una seria compromissione delle attività di riparazione del dna?,xeroderma pigmentoso,anemia falciforme,aids,osteomalacia,lupus eritematoso,A,Area Preclinica 2018,fisiologia
459,460,quale dei seguenti enzimi epatici deve essere considerato maggiormente nella valutazione di una epatopatia di tipo ostruttivo?,ast,gamma-gt,alt,ldh,ck-mb,B,Area Preclinica 2018,fisiologia
460,461,un uomo viene portato al pronto soccorso con progressiva paralisi muscolare dovuta al morso di un serpente velenoso. e' probabile che il veleno abbia inattivato:,i canali del calcio,i canali del sodio,i recettori della acetilcolina,i fosfolipidi,la spectrina,C,Area Preclinica 2018,fisiologia
461,462,quale tra le seguenti condizioni che si verificano nell'ipotiroidismo non è corretta?,diminuzione del consumo di ossigeno,diminuzione del metabolismo basale,stimolazione dell'accrescimento cellulare,diminuzione della clearance dell'urea,induzione dell'accumulo,C,Area Preclinica 2018,fisiologia
462,463,la via estrinseca e la via intrinseca responsabili della coagulazione del sangue convergono sul fattore x il quale:,è una endopeptidasi che trasforma la protrombina in trombina,agisce da ossidante sul fibrinogeno che si trasforma in fibrina,favorisce il rilascio del fibrinogeno dalle piastrine,viene anche definito fattore di christmas,viene attivato dalla proconvertina attivata e dalla tromboplastina,A,Area Preclinica 2018,fisiologia
463,464,l'intermedio metabolico comune a tutti gli aminoacidi nella conversione delle loro catene carboniose a glucosio e':,acido fumarico,succinil-coa,fosfoenolpiruvato,acido alfa-chetoglutarico,acetil-coa,C,Area Preclinica 2018,fisiologia
464,465,quale delle seguenti affermazioni relative alla bilirubina e' vera?,"un aumento della bilirubina diretta, unitamente all'eliminazione di feci grigiastre (acoliche) e urine scure, puo' essere dovuta a una improvvisa ostruzione dei dotti biliari.",per bilirubina diretta si intende la frazione di bilirubina legata alle albumine plasmatiche,la bilirubina deriva dal catabolismo dei nucleotidi purinici,a livello epatico viene coniugata con glicina o taurina,"quale molecola tipicamente anfipatica, interviene nei processi di emulsionamento dei grassi a livello intestinale",A,Area Preclinica 2018,fisiologia
465,466,a quale proteina si lega la miosina per consentire la contrazione muscolare?,tropomodulina,actina,atp,gelsolina,cheratina,B,Area Preclinica 2018,fisiologia
466,467,un atomo di carbonio asimmetrico è?,un atomo di carbonio sp3 legato a 4 gruppi uguali,un atomo di carbonio sp2 legato a 3 gruppi diversi,un atomo di carbonio sp2 legato a 3 gruppi uguali,un atomo di carbonio sp3 legato a 4 gruppi diversi,un atomo di carbonio sp legato a 2 gruppi diversi,D,Area Preclinica 2018,fisiologia
467,468,l'anemia falciforme è causata da anomalie nell'emoglobina che riguardano:,il tipo di catene,lo stato di ossidazione del ferro,la sostituzione del ferro col rame,variazioni di struttura secondaria,variazioni di struttura primaria,E,Area Preclinica 2018,fisiologia
468,469,la gluconeogenesi è un processo metabolico che:,si accompagna ad acidosi lattica,avviene prevalentemente nel cuore anossico,è un processo che ha sede negli eritrociti,utilizza aminoacidi come substrati,utilizza acidi grassi come substrati,D,Area Preclinica 2018,fisiologia
469,470,la gluconeogesi epatica è favorita da:,sintesi degli acidi grassi,beta-ossidazione degli acidi grassi,glicogenolisi,aumentata attività del ciclo degli acidi tricarbossilici,presenza di insulina,B,Area Preclinica 2018,fisiologia
470,471,quale tra i seguenti ormoni ha effetto iperglicemizzante?,secretina,glucagone,insulina,prolattina,lh,B,Area Preclinica 2018,fisiologia
471,472,qual è la quantità di glucosio somministrata in una curva da carico standard?,100 g,1.75 g/kg di peso,50 g,75 g,125 g,D,Area Preclinica 2018,fisiologia
472,473,una concentrazione normale di mioglobina sierica 8 ore dopo la comparsa dei sintomi di un sospetto infarto del miocardio è compatibile con quale delle seguenti affermazioni:,esclude l'ipotesi di infarto cardiaco,conferma l'ipotesi di infarto cardiaco,"deve essere meglio interpretata, possibilmente alla luce dei risultati del dosaggio della troponina i cardiaca",non è di nessun aiuto diagnostico,fa ipotizzare un blocco atrio-ventricolare di iii grado,A,Area Preclinica 2018,fisiologia
473,474,quali fenomeni caratterizzano il sistema molecolare di trasduzione del segnale ormonale:,"specificità, amplificazione, desensibilizzazione/adattamento, integrazione","amplificazione, adattamento, feed-back retroattivo",specificità d'azione e integrazione tra segnali,adattamento indotto e modificazione covalente,assuefazione e adattamento,A,Area Preclinica 2018,fisiologia
474,475,quale dei seguenti composti non verra' marcato con c14 in seguito ad una iniezione endovenosa di glucosio con gli atomi di carbonio uniformemente marcati con c14?,glicerolo,acido palmitico,acido oleico,acido linoleico,colesterolo,D,Area Preclinica 2018,fisiologia
475,476,quale tra le seguenti sostanze non costituisce una via di eliminazione di azoto nei mammiferi?,acido urico,urea,creatinina,arginina,ammoniaca,D,Area Preclinica 2018,fisiologia
476,477,in un paziente disidratato l'acqua corporea deve essere reintegrata utilizzando una infusione endovenosa di:,acqua distillata,soluzione contenente 154 meg/l di nacl,soluzione ipertonica di albumina,soluzione di nacl al 9%,soluzione di glucosio al 10%,B,Area Preclinica 2018,fisiologia
477,478,"in una reazione che avviene con cinetica autocatalitica,",la velocità aumenta nel tempo,la concentrazione del substrato diminuisce più rapidamente nei tempi iniziali,la velocità non è influenzata dalla presenza di un enzima,la velocità è costante nel tempo,la formazione del prodotto diminuisce nel tempo,A,Area Preclinica 2018,fisiologia
478,479,la chetoacidosi diabetica è la conseguenza principale di:,diminuita secrezione di glucagone,aumento di uptake di glucosio nelle cellule,inibizione dell'utilizzo di corpi chetonici,aumento della lipolisi,diminuzione dei livelli ematici di glucosio,D,Area Preclinica 2018,fisiologia
479,480,un estere è il prodotto della reazione fra?,un acido carbossilico ed un' ammina,un acido carbossilico ed un alcool,un acido carbossilico ed un' aldeide,due molecole di acido carbossilico,due molecole di alcool,B,Area Preclinica 2018,fisiologia
480,481,qual è il precursore dell'ossido nitrico che si forma negli organismi superiori?,dall'arginina,dall'epsilon aminogruppo della lisina,dagli aminoacidi diamino-monocarbossilici,da alcune particolari proteine endocellulari,dalla ossidazione dell'azoto ureico,A,Area Preclinica 2018,fisiologia
481,482,quale tra le seguenti affermazioni sull'inositolo trisfosfato è corretta?,è un lipide di membrana,si forma per azione di una specifica fosfolipasi a,promuove il rilascio di ca2+ dal reticolo endoplasmatico,attiva la proteina cinasi c,è utilizzato come composto altamente energetico al posto dell'atp,C,Area Preclinica 2018,fisiologia
482,483,quale fra le seguenti motivazioni non è determinante per la prescrizione di analisi di laboratorio?,conferma di un sospetto clinico,formulazione di una prognosi,esclusione di una diagnosi,conferma di una diagnosi,richiesta del paziente,E,Area Preclinica 2018,fisiologia
483,484,la lisi massiva di cellule leucemiche determina alti livelli di acido urico che proviene:,dal catabolismo dell' urea,dai calcoli epatici,dai sali biliari,dal catabolismo delle pirimidine,dal catabolismo delle purine.,E,Area Preclinica 2018,fisiologia
484,485,quale delle seguenti proteine è a localizzazione extracellulare?,cheratina,collageno,tubulina,spettrina,troponina,B,Area Preclinica 2018,fisiologia
485,486,l'insulina è:,un ormone peptidico che agisce attivando un recettore tirosina chinasi,un ormone peptidico che attiva alcuni recettori a sette eliche transmembrana,una proteina legante il glucosio,un metabolita dell'inulina,un ormone ipofisario,A,Area Preclinica 2018,fisiologia
