ID,Question,A,B,C,D,E,Answer
481,Quale tipo di secrezione è caratterstica della rinite allergica:,,purulenta,sierosa,mucosa,assenza di secrezioni,E
482,"Quali sono i valori di pressione media nell'arteria polmonare in un soggetto
sano?",,5-10 mmHg,10-20 mmHg,30-50 mmHg,50-100 mmHg,E
483,L'avvelenamento da ossido di carbonio e' dovuto al legame del CO:,,al ferro dell'eme in forma ferrosa,O2,alle catene lambda in sostituzione della,ai gruppi aminici liberi della lisina delle catene globiniche,E
484,Quale anemia cronica porta con più frequenza alla mielosi funicolare?,,12,anemia emolitica autoimmune,ittero emolitico costituzionale,anemia drepanocitica,E
485,La barriera ematoencefalica:,,È più permeabile alle sostanze liposolubili che a quelle idrosolubili,O2,Non possiede meccanismi di trasporto attivo,Ostacola la libera diffusione della,E
486,Quale delle seguenti affermazioni sulla sindrome di Raynaud è falsa?,cambiamenti significativi nell'appetito o nel peso,aumento di energia,cambiamenti nel ritmo del sonno,calo di concentrazione,ideazione suicidiaria,E
488,"Quali delle seguenti malattie del SNC ha una causa quasi esclusivamente
iatrogena:",,ignani,mielinolisi pontina centrale,evic,malattia di Machiafava-,E
489,NELL'INSUFFICIENZ,la gittata sistolica e' diminuita,la velocita' di contrazione ventricolare e' aumentata,la forza di contrazione ventricolare e'aumentata,la pressione ventricolare telediastolica e' diminuita,il volume ventricolare telediastolico e' diminuito,E
490,Quale di queste formazioni fa parte dell'orecchio medio:,,otricolo,labirinto osseo,cassa del timpano,modiolo,E
491,L'area di Wernike:,,è situata nel lobo frontale dell'emisfero non dominante,è situata nel lobo temporale dell'emisfero dominante,fa parte dei centri della visione,è comunemente interessata nel meningioma olfattorio,E
492,"I pazienti con acromegalia hanno minor aspettativa di vita. La causa più
importante è:",,Il manifestarsi del diabete mellito,La maggior incidenza di malattie cardiovascolari,L'osteoartropatia acromegalia,Il manifestarsi di neoplasie,E
493,"Ad alte quote la pressione atmosferica è ridotta rispetto al livello del mare.
Il rilascio di ossigeno dall'emoglobina deve quindi essere facilitato. Ciò si
attua grazie all'aumento nel sangue di:",,isfosfoglicerato,O2,,NH3,E
494,"Caratteristiche della mioglobina, quale affermazione e' vera?",,la P50 della mioglobina è uguale alla P50 dell'emoglobina,i mitocondri del tessuto muscolare sono privi di mioglobina,tutte le precedenti affermazioni sono false,tutte le precedenti affermazioni sono vere,E
495,"Sul radiogramma postero-anteriore del torace il versamento pleurico libero
si dispone:",margine superiore orizzontale,,,Tutte le precedenti risposte sono esatte,Tutte le precedenti risposte sono errate,E
496,Il principio fondamentale del rapporto medico paziente è costituito: (art.,,,,,,
497,Il segno di Ortolani:,,è una manovra per evidenziare alla nascita una displasia dell'anca,è una manovra per evidenziare una lussazione di gomito,nessuna delle tre condizioni,"è un segno di scarso valore clinico, quando indicato",E
498,Quale esame viene utilizzato IN CLINIC,clearance della inulina,emocromo,acido urico plasmatico,proteinuria,creatinina plasmatica,E
499,Quale immunoglobulina ha la più lunga emivita nel siero?,,IgG,IgM,,,E
500,La sindrome retrovirale acuta è caratterizzata da :,,quadro simil-nefritico,quadro simil-infartuale,quadro simil-gastroenteritico,quadro simil-mononucleosico,E
501,"Inn caso di sma cronico una possibile eziologia legata a MRGE deve essere
sospettata quando:",,In caso di altre manifestazioni allergiche,In caso di asma diurno,In caso di beta agonisti,In nessuno di questi casi,E
502,L'esclusione dei folli in luoghi separati dalla società è stata motivata da:,,sentimenti umanitari,problemi sociali,sentimento religioso,desiderio di guarigione,E
503,"Quale delle seguenti costituisce un fattore patogenetico per l'insorgenza di
una neoplasia del colon-retto?",,il diabete,l'alcolismo,la familiarità,l'ipertensione portale,E
504,Si può affermare che le reazioni a cascata della coagulazione:,,sono indipendenti dal calcio,richiedono la presenza di ferro solubile,impediscono l'aggregazione piastrinica,coinvolgono una serie di chinasi regolatrici,E
505,"Il prurito tende ad essere associato con tutte le seguenti condizioni, tranne:",,policitemia rubra vera,cirrosi biliare primaria,dermatite atopica,uremia,E
506,"Indicare quale delle seguenti affermazioni riguardante l'uso degli enzimi
contenuti nel plasma nella DIAGNOSTIC","nel plasma, in condizioni fisiologiche, sono presenti soltanto enzimi
plasma-specifici","alcuni enzimi di origine cellulare sono dosabili nel plasma anche in
condizioni fisiologiche","la concentrazione plasmatica di enzimi provenienti da organi e tessuti
aumenta considerevolmente a seguito di lesioni a carico di questi","per la diagnosi di una determinata patologia d'organo può essere utile il
dosaggio di più attività enzimatiche (quadro enzimatico)","esistono alcuni isoenzimi organo- o tessuto-specifici, il cui dosaggio nel
plasma È di grande utilità nella diagnosi differenziale",E
507,Il valore normale di frazione di eiezione ventricolare sinistra a riposo è:,,compreso fra 70% e 90%,compreso fra 50% e 70%,compreso fra 30% e 50%,inferiore al 30%,E
508,"Le assenze ""piccolo male"" rientrano tra:",,epilessie parziali,epilessie del I° anno di vita,epilessie generalizzate sintomatiche,epilessie generalizzate idiopatiche,E
509,Quale dei seguenti eventi avviene durante la fecondazione?,,Formazione dei villi primari,Impianto dell'embrione,eterminazione del sesso,Formazione della zona pellucida,E
510,"Per tempo di dimezzamento o emivita fisica si intende l'intervallo di tempo
alla fine del quale una certa quantità iniziale di atomi radioattivi:",,si è ridotta alla metà,si è ridotta a un quarto,si è ridotta a un terzo,è aumentata del triplo,E
511,"Il prelievo di sangue per ottenere plasma per esami di coagulazione va fatto
usando provette contenenti:",bipotassico,citrato trisodico,separatore di siero,antiglicolitico,nessun additivo,E
512,"Il focolaio di ascoltazione dell'aorta e' sito, in condizione di norma, al:",,III spazio intercostale di sinistra sulla parasternale,IV spazio intercostale di sinistra sulla parasternale,II spazio intercostale di destra sulla parasternale,III spazio intercostale di destra sulla emiclaveare,E
513,"La somministrazione di tetracicline può comportare (indicare la risposta
corretta):",ritmie cardiache,,Insufficienza pancreatica,Stipsi,,E
514,"Con quale porzione anatomica il margine acuto del cuore è
topograficamente in rapporto:",,,,,,
515,L'ossigenoterapia non comporta mai il rischio di:,,edema polmonare lesionale,fibrodisplasia retrolenticolare,irritazione della mucosa delle vie aeree,depressione respiratoria nei broncopneumopatici cronici,E
516,"Quale delle seguenti affermazioni riguardanti la cirrosi biliare primaria
NON è corretta?",,"in un'alta percentuale di pazienti si riscontra la presenza di anticorpi
antimitocondrio","la somministrazione di acidi biliari può dimostrarsi utile nel controllo dei
sintomi",-penicillamina,il trattamento più efficace è rappresentato dalla,E
517,La catatonia puo' essere caratterizzata da:,,flexibilitas cerea,incapacita' di ricordare fatti recenti,ipersensibilita' alla lettura di argomenti medico-psicologici,la tendenza a tenere discorsi in pubblico,E
518,L'ipertrofia linfoide è:,,un linfoma,un tumore benigno,una proliferazione degli elementi linfoidi,nessuna di queste,E
519,"La stadiazione ""clinico-strumentale""",+,+,,,,E
520,"Quale dei seguenti reperti auscultatori è più probabilmente associato alla
insufficienza valvolare aortica?",,soffio sistolico puntale,"soffio diastolico con massimo d'intensità sul focolaio aortico accessorio
(punto di",rullio diastolico puntale,soffio continuo alla base,E
521,La corea di Huntington è:,,una malattia endodegenerativa autosomica recessiva,una manifestazione della malattia reumatica,una forma di paralisi cerebrale infantile,un disturbo della coordinazione del movimento di origine cerebellare,E
522,Il ganglio ciliare prende rapporto con:,,la seconda branca del trigemino,la terza branca del trigemino,il nervo facciale,tutte le risposte sono errate,E
523,Quanti rami trigeminali si staccano dal ganglio di Gasser?,,due,tre,quattro,cinque,E
524,Il test definitivo per la diagnosi di feocromocitoma e':,,il dosaggio dei 17-chetosteroidi,clearance della creatinina,dosaggio delle pseudocolinesterasi,nessuna di queste,E
525,Nei polmoni normali:,,"nella posizione eretta il rapporto ventilazione/perfusione diminuisce dalla
base all'apice del polmone","il passaggio di ossigeno dagli alveoli ai capillari avviene per diffusione
passiva","il rapporto ventilazione/per fusione non varia dalla base all'apice del
polmone","il volume di aria che entra effettivamente negli alveoli durante
l'inspirazione è uguale alla capacità polmonare totale",E
526,L'antigene di superficie CD-4 è espresso:,,,dai linfociti,dai granulociti,dalle piastrine,E
527,"Quale fra i seguenti antigeni può essere responsabile di polmonite da
ipersensibilità:",denovirus,,Staphylococcus aureus,,Tutti i precedenti,E
528,"Nei pazienti anziani qual'è la terapia di elezione delle fratture mediali del
collo femore?",,osteosintesi,sostituzione protesica,nessun trattamento,asportazione della testa,E
529,Gli agenti patogeni si definiscono opportunisti se:,umentano la capacità di altri agenti microbici di provocare la malattia,Hanno la capacità di provocare sempre e comunque una malattia,ontrastano la capacità patogena di altri agenti microbici,,Provocano una malattia solo in particolari condizioni,E
530,"Soltanto una delle seguenti affermazioni, relative ad una coppia di alleli
che controllano un singolo carattere, è corretta. Indicare quale.",,entrambi gli alleli sono di derivazione materna,un allele deriva dalla madre e uno dal padre,sono trasmessi in coppie o dal padre o dalla madre,"entrambi sono il risultato diretto di mutazioni che si verificano
simultaneamente nella madre e nel padre",E
531,Le allucinazioni sono definite come:,,false convinzioni che non possono essere eliminate con la critica,false percezioni sensoriali basate sulla stimolazione naturale del recettore,"false percezioni sensoriali non basate sulla stimolazione naturale del
recettore",qualsiasi sensazione anomala legata ad una lesione neurologica,E
532,Le complicanze della colecistite acuta sono le seguenti eccetto:,,,,,,
533,"Quale dei seguenti microorganismi è più frequentemente riscontrato come
causa di meningite batterica o ascesso cerebrale nel soggetto
immunocompromesso?",,acteroides fragilis,Haemophilus influenzae,,Nocardia specie,E
534,Tutte le seguenti affermazioni sono corrette tranne:,V),"i glucosidi cardioattivi inducono inversione dell'onda T, allungamento
dell'intervallo P-R, riduzione dell'intervallo Q-T",la digossina è eliminata per via renale,il fegato è l'organo principale deputato all'eliminazione della digitossina,"nella fibrillazione atriale i glicosidi cardioattivi rallentano la frequenza
media ventricolare prolungando il periodo refrattario del nodo
atrio-ventricolare (",E
535,Quali di questi gruppi di sintomi è indicativo di polineuropatia?,,abinski bilaterale,"ipostenia distale, areflessia miotatica,","parestesie distali, ipostenia distale, areflessia miotatica","tetraparesi flaccida, iporeflessia, vescica neurologica",E
536,"Il ""riso sardonico"" si ha:",,Nella difterite,Nella poliomielite,Nel tetano,Nella rabbia,E
537,Quale di questi alimenti è più ricco di aminoacidi essenziali:,,avena,lenticchie,riso,carote,E
538,"Nella formulazione di una ipotesi diagnostica complessa, l'etica del
quotidiamo riguarda soprattutto",,"scegliere i test indispensabili, evitando l'accanimento diagnostico","scegliere i test tecnologicamente più avanzati convinti di ottenere
informazioni più attendibili","scegliere i test più nuovi per evitare di ripetere indagini già realizzate in
precedenza",scegliere i testi più economici per una migliore allocazione delle risorse,E
539,La pancreatite acuta può essere causata da:,,abuso di alcool,interventi chirurgici sulle vie biliari o sullo stomaco,tossine quali la clorotiazide,tutte,E
540,Le cellule del nodo seno-atriale sono caratterizzate da:,,mancanza di sensibilità alla stimolazione parasimpatica,un potenziale d'azione calcio dipendente,un potenziale d'azione con fase di plateau pronunciata,una maggiore permeabilità al K+,E
541,"Le paralisi cerebrali infantili sono dovute a:Aencefalopatie degenerative
B*encefalopatie genetiche
C*patoogie dell'unità muscolare
D*encefalopatie verificatesi in epoche precoci dello sviluppo
E*traumi psicologici precoci",,,,,,
542,Cosa caratterizza clinicamente l'AIDS,,predisposizione a malattie metaboliche,invecchiamento precoce / disturbi dell'accrescimento,insorgenza di disturbi cardiocircolatori,insorgenza di squilibri ormonali,E
543,"Quale dei seguenti reperti si osserva nella fase precoce della nefropatia
diabetica?",,Riduzione della dimensione dei reni,Riduzione della filtrazione glomerulare,sindrome nefrosica,aumento della azotemia,E
544,La scialorrea è:,,iperproduzione ed ipersecrezione di saliva,abbondante secrezione nasale,eccessiva lacrimazione per ostruzione del dotto naso-lacrimale,nessuna delle risposte precedenti,E
545,La creatina chinasi è un enzima:,,rilasciato nel plasma in seguito a necrosi,secreto dal rene nel plasma,rilasciato normalmente dal cuore a riposo,coinvolto nel metabolismo ossidativo,E
546,"Un paziente di 30 anni accusa dolori lancinanti irradiantisi dalla regione
lombare ai genitali esterni; con molta probabilità egli è affetto da:",,Nefrolitiasi,,Glomerulonefrite acuta,Pielonefrite acuta,E
547,"Dopo quanto tempo dall'infezione primaria il test alla tubercolina diviene
positivo?",,dopo una settimana,dopo 10 settimane,dopo 10 giorni,dopo 6 mesi,E
548,La schizofrenia in età evolutiva:,,è più frequente in adolescenza,non esiste,presenta molte analogie con le malattie dell'adulto,è tipica dell'età di latenza,E
549,"La definizione arbitraria di anuria è un volume urinario al di sotto di quale
delle seguenti",,100 ml/24 ore,250 ml/24 ore,400 ml/24 ore,500 ml/24 ore,E
550,L'ascite non complicata del paziente cirrotico è sempre caratterizzata da:,,albuminemia < 3 g/dl,PH < 7,,,C
551,"Quale delle seguenti lesioni elementari cutanee non é di pertinenza
dell'epidermide:",,Vescicola,rosta,Pustola,,E
552,Che cosa contiene l'essudato nell'infiammazione acuta?,,"leucociti e proteine anche di alto peso molecolare a seconda del tipo di
essudato",eosinofili e proteine solo di basso peso molecolare,fibrinogeno e cellule giganti plurinucleate,plasmacellule e fibroblasti,E
553,L'ulcera duodenale non è complicata da,,perforazione,penetrazione,stenosi,cancerizzazione,E
554,Quale delle seguenti affermazioni e` vera: i soggetti con gruppo sanguigno,ne` anticorpi anti-,,anticorpi naturali anti-,ne` anticorpi anti-,anticorpi naturali anti-Rh,E
555,"Solo una tra le seguenti affermazioni riguardanti la farmacogenomica è
VERA:",),consiste nello studio della risposta ai farmaci nei diversi ceppi etnici,consiste nello studio del genoma (,"consiste nello studio dei fattori genetici ereditari che influiscono sulla
risposta individuale ai farmaci (efficacia e tollerabilità) creando differenze
tra un individuo e un altro","consiste nella produzione di nuovi farmaci con tecniche di ingegneria
genetica.",E
556,"In un paziente affetto da BPCO con enfisema, quale dei seguenti parametri
sara' con maggiore probabilità normale?",,FV,%,F,Nessuno dei sopracitati,E
557,L,,Pulsatile con un periodo di 60-90 minuti,Pulsatile solo dopo i pasti,Pulsatile solo durante la notte,Pulsatile solo durante la pubertà,E
558,"Indicare quali esami di laboratorio sono comunemente alterati
nell'ipertensione essenziale senza complicazioni secondarie:",,creatininemia,nessuno,esame urine,ormonali,E
559,La sindrome da privazione sensoriale:,,compare fisiologicamente nel corso del terzo anno di vita del bambino,"è una lesione della retina da esposizione a stimoli luminosi di grande
intensità","si verifica nei soggetti esposti per lungo tempo ad un ambiente quasi del
tutto privo di stimoli",non esiste,E
560,L'azotemia indica :,,La concentrazione urinaria di azoto,La concentrazione plasmatica di ammonio,Tutte le precedenti,Nessuna delle precedenti,E
561,In quale tra i seguenti casi non è indicata la profilassi antimeningococcica?,,,"Soggetti esposti direttamente alle secrezioni del caso indice, attraverso la
saliva o l'uso di oggetti comuni",Personale sanitario che non ha avuto esposizione diretta al caso indice,Soggetti che abbiano dormito o mangiato con il caso indice,E
562,"Quali delle seguenti coppie di malattie sono ritenute patogeneticamente
correlate e pertanto parte di un unico spettro patologico:",lport,sindrome di,porpora di Schonlein-Henoch e nefropatia ad Ig,porpora di Schonlein-Henoch e sindrome di,porpora di Schonlein-Henoch e nefrosclerosi maligna,E
563,la sintomatologia del cancro della papilla di Vater è caratterizzato da:,nemia,,istifellea distesa e palpabile,,Tutte le risposte precedenti,E
564,"L'iperpigmentazione delle pieghe palmari, della mucosa orale, della linea
alba, e dello scroto può essere segno di:",,Porpora di Schoenlein-Henoch,Sclerosi tuberosa,Scorbuto,Sifilide,E
565,Quale è la causa principale di broncopneumopatia cronica ostruttiva?,,L'esposizione all'asbesto,L'esposizione al silicio,L'esposizione agli acari,L'esposizione alle graminacee,E
566,Gli ultrasuoni si adoperano in medicina:,,nella terapia del distacco di retina,per lo studio delle ipoacusie,per seguire una ecografia,per sterilizzare degli strumenti chirurgici,E
567,In oncologia si definisce «neoadiuvante» un trattamento antiblastico:,ssociato a radioterapia,Pre-operatorio,on farmaci sperimentali,,,E
568,Nell'insufficienza respiratoria dell'obeso:,,l'alterazione funzionale è prevalente durante la fase espiratoria,tutte e due le fasi della ventilazione sono compromesse,,,C
569,"In quali di queste condixioni l' edema è dovuto prevalentemente a
diminuzione della pressione oncotica",,insufficienza cardiaca,mixedema,edema Quincke,cirrosi epatica,E
570,Nell'insufficienza renale cronica si possono avere:,,bilancio sodico positivo,bilancio sodico in pareggio,tutti questi reperti,nessuno di questi reperti,E
571,"Uno dei seguenti è un sintomo della sindrome da astinenza da
sedativo-ipnotici; indicare quale:",nsia marcata,Iporeflessia,Ipotensione ortostatica,iminuzione della temperatura corporea,Marcata diminuzione della motilità intestinale,E
572,L'astrocitoma di III e IV grado é sinonimo di:,ngiosarcoma,,Oligodendroglioma,Glioblastoma multiforme,,E
573,"Quali delle seguenti anemie ha maggiori possibilità di rispondere alla
somministrazione di eritropoietina?",,L'anemia perniciosa,L'anemia sideroblastica,L'anemia emolitica autoimmune,L'anemia da insufficienza renale,E
574,"In presenza di HCC in cirrosi epatica, in quale condizione è indicata la
resezione epatica?",con trombosi portale (trombectomia portale),nodulo multiplo in cirrosi compensata (,hild,nodulo unico in,nessuna delle precedenti,E
575,Qual'è la peculiarità patogenetica di un'infezione nosocomiale,,Manifestarsi durante il ricovero ospedaliero,Manifestarsi entro le prime 48 ore di ricovero ospedaliero,Manifestarsi solo in categorie di pazienti a rischio,Tutte le precedenti,E
576,Gli ormoni tiroidei circolano legati a proteine di trasporto in misura del:,,10-50%,51-70%,71-99%,> 99%,E
577,Quali sono le caratteristiche dell'iperpiressia del morbo di Still?,perforazione intestinale,emorragia intestinale,occlusione intestinale,pancreatopatia cronica,diverticolosi del colon,E
579,La proteinuria della glomerulonefrite a lesioni minime è:,,non selettiva,modesta,dipende dalla pressione arteriosa sistemica,nessuna delle risposte precedenti è corretta,E
580,Controindicazioni alla RM in patologia cardio-vascolare:,,Protesi valvolari meccaniche,lips metalliche chirurgiche,Punti di sutura metallici post-sternotomia,tutte le precedenti,E
581,La spirometria valuta,,solo la meccanica respiratoria,O2 nel sangue arterioso,sia la meccanica che l'insufficienza respiratoria,nessuna delle precedenti,E
582,"Qual è l'esame di funzionalità respiratoria che ci consente di differenziare
l'asma bronchiale dalla BPCO?",,bodypletismografia,test di diffusione al monossido di carbonio,test di broncoreversibilità,test da sforzo,E
583,"Quale delle seguenti valutazioni ha la priorità nel paziente
politraumatizzato?",,controllo della respirazione,controllo della pervietà delle vie aeree,controllo dell'attività cardiocircolatoria,controllo della pressione arteriosa,E
584,Quali delle seguenti malattie infettive è a trasmissione orofecale?,,Malaria,Rosolia,Sifilide,Tifo,E
585,Quale delle seguenti neoplasie risponde al trattamento con Iodio-131?,,linfoma primitivo della tiroide,carcinoma follicolare della tiroide,carcinoma midollare della tiroide,tutte le risposte precedenti sono corrette,E
586,Quale dei seguenti segni clinici non fa parte dei disturbi extrapiramidali?,,tremori,areflessia,rigidità,distonia,E
587,La sarcoidosi attacca meno frequentemente:,,il cuore,,,,B
588,"Tutte le seguenti affermazioni sulla peritonite acuta secondaria
generalizzata sono vere, eccetto:",,,"Può essere causata da infezione o perforazione di visceri cavi, rottura di
ascesso epatico o splenico, infarto intestinale, trauma penetrante o chiuso,
deiscenza di sutura o anastomosi di visceri cavi",Non richiede trattamento antibiotico,Richiede trattamento chirurgico d'urgenza,E
589,La sindrome di Pickwick può complicare:,,l'obesità,una cachessia da neoplasia mesencefalica,l'ipertensione,tutte le precedenti affezioni,E
590,I flebotomi o papataci trasmettono:,,toxoplasmosi,leishmaniasi,amebiasi,schistosomiasi,E
591,Quale delle seguenti condizioni può essere causata dalla Sindrome Delle,Ipertensione arteriosa,,efalea al risveglio,,Tutte le precedenti,E
592,"Tra le seguenti qual'è la più probabile causa di sanguinamento ""occulto""
dell'apparato digerente:",,La diverticolosi del colon,La rettocolite ulcerosa,Il carcinoma del cieco,Il diverticolo di Zenker,E
593,"In quale delle seguenti condizioni si osserva un cariotipo 47, XY + 21:",,Sindrome di Turner,Sindrome di Noonan,own,Sindrome di Klinefelter,E
594,"Umberto, un architetto di Tonara di 36 anni, due mesi fa ha avuto una
diagnosi di rettocolite ulcerosa ed ha iniziato trattamento con salicilati.
Poiché la sintomatologia diarroica non era ben controllata ed interferiva
con lavoro e vita sociale, nell'ultima settimana ha assunto di sua iniziativa
loperamide, 2 mg tid. Da 48 h sono comparse febbre e malessere generale,
seguito da sopore. All'EO è ipoteso, tachicardico, acutamente sofferente;
c'è una distensione addominale confermata ad un Rx diretto dell'addome. I
dati di laboratorio indicano tra l'altro una leucocitosi neutrofila (18×109/L)
ed una Hb = 10.2 g/dl. La vostra diagnosi è",,Megacolon tossico,lostridium difficile,Perforazione intestinale,Nessuna delle precedenti,E
595,"Le lesioni meningo-encefaliche, prese ad esempio per dimostrare che le
malattie mentali sono malattie del cervello, sono causate da quale malattia:",meningite meningococcica,meningite virale,meningite tubercolare all'esordio,meningite da,nessuna delle precedenti,E
597,"La nitroglicerina determina direttamente o per via riflessa, tutti i seguenti
effetti TRANNE:",,diminuzione della forza cardiaca.,aumento della capacità venosa.,diminuzione della richiesta miocardica di ossigeno,diminuzione del precarico,E
598,"Nella fibrosi polmonare idiopatica quale alterazione istologica non e'
sicuramente riscontrabile?",umento del collagene negli spazi interstiziali,Granuloma con necrosi caseosa,Tavolta essudato cellulare endoalveolare,,Infiltrato linfoplasmacellulare a livello alveolare,E
599,Quale tra queste affermazioni è esatta?,,la causa dell'iperplasia prostatica è indipendente dall'azione degli androgeni,la prostata con iperplasia è ridotta di volume,non c'è correlazione tra iperplasia prostatica e disturbi urinari,"l'iperplasia prostatica è caratterizzata dalla formazione di ampi noduli
principalmente localizzati nella regione prostatica periuretrale",E
600,Quale complicanza clinica NON si riscontra nell'IRC terminale?,,artrite,pericardite,anemia,osteodistrofia,E
601,"In un paziente in coma, la nutrizione più indicata è in genere:",,parenterale centrale,enterale con sondino,per bocca semisolida,per bocca idrica,E
602,Nello scompenso diastolico si altera:,,Il rilasciamento ventricolare,l'espulsione ventricolare,la resistenza del circolo periferico,le resistenze polmonari,E
603,Un vaccino costituisce una forma di immunizzazione:,ttiva artificiale,,Passiva naturale,Passiva artificiale,Nessuna delle precedenti,E
604,"Quali, in percentuale, sono le cellule ipofisarie secerneti ormoni più
frequentemente rappresentate?",,,ellule corticotrope,,,E
605,Diagnosi sierologica di infezione perinatale,,,,,,
606,"Quale dei seguenti indici varia principalmente con le resistenze delle vie
aeree:",,,apacità polmonare totale,,Volume residuo,E
607,"Quali di queste condizioni non è rilevante nello scatenamento di una crisi
epilettica?",,privazione di sonno notturno,febbre elevata,disidratazione o severa iposodiemia,fumo di sigarette,E
608,Dove si trova l'eminenza ipotenar?,,a livello tibiale,dal lato ulnare del carpo,dal lato radiale del carpo,a livello dell'acromion,E
609,Non è indicativo per una sincope:,,durata breve della perdita di coscienza,pupille dilatate,inizio brusco,aura,E
610,Necrosi papillare renale si puo' rilevare in una di queste condizioni:,,glomerulonefrite acuta,ipogammaglobulinemia,litiasi renale,cistinuria,E
611,"Tutti i seguenti sono sintomi di morte intrauterina fetale (MIF), ad
eccezione di uno:",,mancato aumento di volume dell'utero,aumento di peso materno,regressione dei sintomi di gravidanza,mancato rilevamento ecografico del battito cardiaco fetale,E
612,"L'infiltrazione interstiziale polmonare,diabete insipido e lesioni ossee
osteolitiche sono indicative di:",,emocromatasi,hristian,Hand-Schuller-,sclerosi sistemica progressiva,E
613,La creatinina a livello renale:,,"viene filtrata mantenendo il valore di concentrazione plasmatici e viene
tutta secreta","viene filtrata mantenendo il valore di concentrazione plasmatica e non
viene né riassorbita né secreta",viene completamente eliminata nell'ultrafiltrato a livello del glomerulo,non viene filtrata,E
614,Qual è l'attuale criterio di classificazione della BPCO?,,radiologico,esclusivamente funzionale,anatomopatologico,radiologico-funzionale,E
615,Qual è la complicanza più grave della stenosi mitralica?,,infarto polmonare,infarto del miocardio,embolia sistemica,asistolia,E
616,,diabete,brucellosi,assunzione di acido acetilsalicilico,emocromatosi,somministrazione di eparina,E
617,In quale malattia si ha più cospicua Splenomegalia?,,leucemia mieloide cronica,leucemia mieloide acuta,tiroidite di Hashimoto,anemia sideropenica,E
618,Costituisce controindicazione relativa all'impiego della terapia digitalica:,,emiblocco anteriore sinistro,ipertiroidismo,terapia corticosteroidea,terapia con spironolattone,E
619,"Una adenopatia ascellare si accompagna molto spesso ad eosinofilia in una
di queste condizioni:",,neoplasia esofagea,neoplasia gastrica,m. da graffio di gatto,morbillo,E
620,Nella malformazione di Arnold-Chiari:,,"si manifestano segni e sintomi da lesione cerebellare, bulbare e dei nervi
cranici","il quadro può simulare la siringomielia, ma non la platibasia",i sintomi in genere non si manifestano fino all'età adulta,la comparsa di idrocefalo è insolita,E
621,La disposizione di aria «a falce» tra fegato e diaframma è caratteristica di:,,Interposizione del colon fra fegato e diaframma,isti da echinococco,,Pneumotorace,E
622,La mutazione di Leiden consiste:,,"in una anomalia del fattore V, che ne ritarda il catabolismo","ina una anomalia del fattore VII, che ne accelera l'attivazione","in una anomalia del fattore VIII, che ne accelera l'attivazione",in una anomalia del fattore XII,E
623,Cos'è un termine del tutto nuovo in rapporto ad una idea delirante?,,Una parafasia,Un neologismo,Una logopedia,Uno pseudonimo banale,E
624,In quale condizione si rileva radiologicamente ombra renale piccola?,,nefropatia policistica,glomerulonefrite cronica,idronefrosi,ipernefroma,E
625,L'aumento del precarico determinerà:,umento della tensione della parete ventricolare.,Riduzione del picco di tensione del muscolo.,Riduzione della velocità iniziale di accorciamento.,"Riduzione del tempo richiesto dal muscolo per raggiungere il picco di
tensione.",,E
626,Nella brucellosi acuta qual è il titolo minimo per la diagnosi:,,1: 50,1: 200,1: 400,1: 800,E
627,In base a quali segni si pone diagnosi di sindrome occlusiva intestinale?,,vomito,melena,rettorragia,"dolori addominali, vomito, meteorismo, chiusura dell'alvo a feci e gas",E
628,L'emofilia C è dovuta a carenza di:,,carenza fattore V,carenza fattore VIII,carenza fattore IX,carenza fattore XI,E
629,"Quale tra le seguenti funzioni è attribuibile alla attivazione della cascata del
complemento?",poptosi dei macrofagi,,,iminuzione della fagocitosi,,E
630,Di quale condizione sono tipici i cilindri leucocitari?,,Sindrome nefrosica,Pielonefrite,Nefropatia diabetica,Infezione delle vie urinarie,E
631,Quali tra queste malattie endocrine può dare ipoglicemia?,ddison,acromegalia,onn,iperprolattinemia,morbo di,E
632,La pneumocistosi è :,,epatite,nefrite,encefalite,colite,E
633,L'allucinazione è:,,un disturbo della vigilanza,sempre di carattere uditivo,caratteristica del disturbo ossessivo-compulsivo,un disturbo del comportamento,E
634,"Che cosa deve maggiormente allarmare il medico nella valutazione di un
nevo melanocitario?",,i traumatismi frequenti,la perdita della simmetria,la presenza di prurito,il colore nero,E
635,"Quale di questi alimenti è nel nostro paese il più comune responsabile delle
tossinfezioni alimentari da Clostridium botulinum?",,uova,pesce fresco,vegetale freschi,vegetali in scatola o sott'olio,E
636,Cosa indica il termine uremia?,,sindrome correlata ad ostruzione delle vie urinarie,sindrome correlata ad insufficienza renale cronica,"aumento, anche se transitorio, di urea nel sangue",presenza di urea nell'urina,E
637,Quale delle seguenti patologie è la causa principale di arresto cardiaco:,,blocco di protesi valvolare,tachicardia ventricolare sostenuta,fibrillazione ventricolare,nessuna delle risposte è esatta,E
638,Il test di Coombs indiretto indica la presenza di,,anticorpi liberi nel siero,eritrociti invecchiati,tutte e tre le risposte,nessuna di queste,E
639,"Gli attuali trattamenti delle malattie genetiche monofattoriali comprendono
tutti i seguenti, eccetto:",,la limitazione dell'apporto di un substrato introdotto con la dieta,il trattamento sintomatico del paziente,l'inibizione della funzione di un metabolita dannoso,la somministrazione di una proteina mancante,E
640,Qual è la funzione della circolazione bronchiale?,e,sono esatte,partecipare ai meccanismi di difesa dell'albero bronchiale,,nessuna risposta è esatta,E
