index,question,answer,macro_category,area,gemma,llama,mistral
1493,la cosiddetta facies mixedematosa e' associata:,C,fisiologia,Preclinica,C,C,C
1494,nella sindrome del seno carotideo con la prova della compressione si hanno tutte le seguenti condizioni tranne:,E,fisiologia,Preclinica,D,E,D
1495,"nel decubito ortopnoico tutte le seguenti affermazioni sono vere, tranne:",C,fisiologia,Preclinica,C,C,C
1496,"tutte le seguenti sono causa di ipersodiemia, tranne:",D,fisiologia,Preclinica,E,D,C
1497,qual è la diagnosi piu' probabile in un paziente di 50 anni obeso con pirosi retrosternale che si accentua in flessione?,D,fisiologia,Preclinica,D,D,D
1498,"in tutte le seguenti condizioni il massaggio del seno carotideo modifica la tachicardia, tranne:",D,fisiologia,Preclinica,D,D,D
1499,la cianosi differenziale (che si osserva solo agli arti inferiori) è causata da:,B,fisiologia,Preclinica,A,D,A
1500,cosa si osserva nell'iperaldosteronismo primario?,E,fisiologia,Preclinica,E,E,E
1501,la presenza di un linfonodo di consistenza duro-elastica alla palpazione puo' essere associato:,A,fisiologia,Preclinica,C,C,A
1502,in tutte le malattie indicate di solito è presente stipsi tranne:,B,fisiologia,Preclinica,B,B,E
1503,il sintomo precoce piu' frequente dell'embolia polmonare e':,A,fisiologia,Preclinica,A,A,A
1504,in tutte le condizioni indicate è presente melanodermia tranne:,B,fisiologia,Preclinica,B,B,B
1505,il sintomo più frequente ed importante del carcinoma dell'esofago è:,C,fisiologia,Preclinica,C,C,C
1506,una sindrome nefrosica associata ad epatosplenomegalia è generalmente dovuta a:,E,fisiologia,Preclinica,E,E,E
1507,quali cellule prevalgono nel liquor in corso di meningite tubercolare?,B,fisiologia,Preclinica,B,B,B
1508,nella stenosi mitralica il rullio diastolico è:,A,fisiologia,Preclinica,C,A,B
1509,il segno di blumberg è una reazione dolorosa di origine:,D,fisiologia,Preclinica,D,D,D
1510,qual è la misura terapeutica più indicata nel tamponamento cardiaco acuto?,A,fisiologia,Preclinica,A,A,A
1511,quali tra i seguenti segni rappresentano gli elementi costitutivi della sindrome di claude-bernard-horner ?,B,fisiologia,Preclinica,B,B,B
1512,in quale delle seguenti condizioni si può riscontrare ipercolesterolemia?,A,fisiologia,Preclinica,A,A,A
1513,in quale delle seguenti condizione il ph del sangue è aumentato?,A,fisiologia,Preclinica,B,A,A
1514,"per quanto riguarda le aree di auscultazione cardiaca, è vero che",C,fisiologia,Preclinica,C,C,E
1515,quale dei seguenti segni clinici non è attribuibile ad un versamento polmonare bilaterale?,D,fisiologia,Preclinica,D,D,D
1516,"tutti i seguenti sintomi sono tipici dell'ipertiroidismo, tranne:",E,fisiologia,Preclinica,E,E,E
1517,la presenza di fischi all'auscultazione del torace e' caratteristica di:,A,fisiologia,Preclinica,B,A,B
1518,quale dei seguenti sintomi si presenta per primo nella cirrosi biliare primitiva?,B,fisiologia,Preclinica,B,B,B
1519,la sindrome di plummer - vinson si manifesta con :,B,fisiologia,Preclinica,B,B,B
1520,come si definisce l'espressione del volto (facies) di un soggetto in buone condizioni di salute?,B,fisiologia,Preclinica,D,D,D
1521,"quale delle seguenti condizioni si presenta con ingrandimento prevalentemente bilaterale delle ombre ilari, accompagnato a simmetria delle lesioni polmonari:",B,fisiologia,Preclinica,B,B,B
1522,"tutte le seguenti alterazioni trofiche possono essere dovute a una sofferenza ischemica, tranne :",D,fisiologia,Preclinica,D,D,D
1523,per oliguria nell'adulto intendiamo:,C,fisiologia,Preclinica,C,C,C
1524,che cosa è il segno di blumberg?,B,fisiologia,Preclinica,B,B,B
1525,"il reperto radiologico articolare è positivo in tutte le seguenti artropatie, tranne:",E,fisiologia,Preclinica,E,E,A
1526,"nel m. di addison, quale delle seguenti alterazioni si rileva abitualmente?",D,fisiologia,Preclinica,D,D,D
1527,come viene indicata la variazione del punto di origine dello stimolo nell'ambito atriale nei pressi del nodo del seno?,B,fisiologia,Preclinica,B,B,C
1528,in quale di queste condizioni la potassiemia è diminuita?,E,fisiologia,Preclinica,C,E,E
1529,qual è la caratteristica del blocco atrio-ventricolare di ii grado tipo mobitz i?,B,fisiologia,Preclinica,B,B,B
1530,il morbo di graves e' una forma di:,B,fisiologia,Preclinica,B,B,B
1531,quale dei seguenti riscontri di laboratorio permette di porre il sospetto di ipotiroidismo in fase subclinica:,C,fisiologia,Preclinica,C,C,C
1532,una quadrantanopsia omonima superiore sinistra puo' essere dovuta a:,A,fisiologia,Preclinica,A,A,A
1533,"la percussione di una grossa massa muscolare, ad esempio la coscia, produce un suono che viene definito?",D,fisiologia,Preclinica,A,B,A
1534,la presenza di sfregamenti pleurici in un paziente asintomatico puo' essere indice di:,B,fisiologia,Preclinica,B,B,B
1535,quale dei seguenti rumori polmonari non e' reperto comune nella broncopneumopatia cronica ostruttiva?,E,fisiologia,Preclinica,C,C,C
1536,il test di rinne,C,fisiologia,Preclinica,C,C,C
1537,il gozzo sporadico e' dovuto a:,B,fisiologia,Preclinica,B,B,B
1538,il diabete insipido e' dovuto a:,B,fisiologia,Preclinica,B,B,B
1539,la vitiligo e':,B,fisiologia,Preclinica,B,B,B
1540,"per porre diagnosi di blocco atrio-ventricolare di i° grado, l'intervallo p-q all'elettrocardiogramma deve essere superiore a:",C,fisiologia,Preclinica,C,C,B
1541,la lingua deviata verso un lato puo' essere indice di lesione a quale dei seguenti nervi cranici,D,fisiologia,Preclinica,D,D,D
1542,l'edema delle caviglie puo' essere dovuto a quale delle seguenti patologie?,E,fisiologia,Preclinica,E,E,E
1543,l'ipofisi posteriore produce tutti i seguenti tranne,E,fisiologia,Preclinica,A,A,A
1544,"la classificazione dello scompenso cardiaco mediante le classi di forrester, tiene conto di:",D,fisiologia,Preclinica,D,D,D
1545,la coilonichia ungueale e':,A,fisiologia,Preclinica,A,A,A
1546,gli esami di laboratorio per la valutazione della funzione tiroidea comprendono tutti i seguenti parametri tranne:,E,fisiologia,Preclinica,E,E,E
1547,il tinnito e':,C,fisiologia,Preclinica,C,C,C
1548,"nell'edema polmonare, solitamente il decubito del paziente preferenzialmente e':",D,fisiologia,Preclinica,D,D,D
1549,le catecolamine sono prodotte a livello surrenalico in quale delle seguenti regioni,B,fisiologia,Preclinica,B,B,B
1550,il legamento rotondo del fegato rappresenta il residuo di:,C,morfologia,Preclinica,C,C,C
1551,i neuroni dei gangli spinali sono:,D,morfologia,Preclinica,D,D,D
1552,"il canale dello schlemm, o seno venoso della sclerotica, consente il deflusso di:",C,morfologia,Preclinica,C,C,C
1553,nella degenerazione walleriana le cellule di schwann,C,morfologia,Preclinica,C,C,C
1554,il nervo muscolo - cutaneo innerva:,A,morfologia,Preclinica,E,A,A
1555,l'epitelio di rivestimento della vescica urinaria è di tipo:,D,morfologia,Preclinica,D,D,D
1556,la vena grande safena:,B,morfologia,Preclinica,B,D,D
1557,la tiroide:,B,morfologia,Preclinica,B,B,B
1558,l'utero è situato:,E,morfologia,Preclinica,E,E,E
1559,la capillarizzazione delle arterie bronchiali avviene a livello di:,C,morfologia,Preclinica,C,D,D
1560,le cellule calciformi mucipare sono numerose:,D,morfologia,Preclinica,D,D,B
1561,quale nervo decorre nel tunnel carpale :,B,morfologia,Preclinica,B,B,B
1562,i muscoli papillari sono particolarmente vulnerabili all'ischemia perché sono irrorati da branche terminali delle coronarie. un infarto miocardio della faccia diaframmatica (inferiore) del cuore danneggia:,A,morfologia,Preclinica,C,C,C
1563,l'uretere inizia a livello:,A,morfologia,Preclinica,A,A,A
1564,le seguenti strutture sono comprese nel piccolo omento tranne:,B,morfologia,Preclinica,C,B,C
1565,il grande omento si inserisce sul:,D,morfologia,Preclinica,D,D,A
1566,"come conseguenza della loro diversa origine embrionale, il cancro dello scroto metastatizza in stazioni linfonodali diverse rispetto al cancro al testicolo; quale delle seguenti affermazioni al riguardo è corretta?",D,morfologia,Preclinica,B,D,D
1567,la parete anteriore della fossa infratemporale è costituita da:,B,morfologia,Preclinica,B,B,C
1568,il drenaggio linfatico dei quadranti mediali della mammella conduce:,A,morfologia,Preclinica,B,B,B
1569,tutte le strutture seguenti sono rivestite da epitelio pavimentoso semplice tranne:,C,morfologia,Preclinica,C,C,C
1570,quale tra le seguenti affermazioni riguardanti le cellule secernenti gastrina è corretta?,A,morfologia,Preclinica,A,A,A
1571,le ghiandole surrenali:,C,morfologia,Preclinica,C,C,C
1572,il dolore viscerale riflesso da ulcera gastrica viene solitamente proiettato nella regione epigastrica perché lo stomaco è innervato da fibre dolorifiche che raggiungono i gangli spinali t7 e t8 attraverso:,B,morfologia,Preclinica,A,B,B
1573,un'ulcera della parete posteriore del bulbo duodenale può perforarsi e provocare una grave emorragia interna per erosione di quale vaso?,D,morfologia,Preclinica,D,D,D
1574,"tutte le seguenti affermazioni circa le vertebre cervicali sono corrette, tranne:",C,morfologia,Preclinica,C,C,C
1575,i granulociti eosinofili sono:,D,morfologia,Preclinica,D,D,D
1576,l'area motrice (4) della corteccia cerebrale è vascolarizzata da:,D,morfologia,Preclinica,D,D,D
1577,quale di queste strutture non è considerato parte del sistema limbico:,E,morfologia,Preclinica,E,E,E
1578,quale arteria accompagna il nervo radiale al terzo medio del braccio:,B,morfologia,Preclinica,B,B,B
1579,l'origine aortica dell'arteria mesenterica superiore è localizzata:,B,morfologia,Preclinica,B,C,B
1580,tutte le seguenti affermazioni sull'orecchio sono corrette tranne:,B,morfologia,Preclinica,B,B,D
1581,nella donna lo spazio del douglas è tra:,D,morfologia,Preclinica,D,D,D
1582,si trova cartilagine elastica in tutte le sedi eccetto:,D,morfologia,Preclinica,D,D,D
1583,la proiezione superficiale dell'anello inguinale addominale si trova al livello:,C,morfologia,Preclinica,C,C,C
1584,l'epitelio del pericardio è:,A,morfologia,Preclinica,A,A,A
1585,quale dei seguenti nervi innerva i muscoli sternocleidomastoideo e trapezio?,A,morfologia,Preclinica,A,A,A
1586,"la cute, senza considerare il sottocutaneo, rappresenta:",E,morfologia,Preclinica,A,E,A
1587,i reni posteriormente prendono rapporto con i nervi:,A,morfologia,Preclinica,A,A,D
1588,"tutte le seguenti affermazioni sul pancreas sono corrette, tranne:",E,morfologia,Preclinica,E,E,E
1589,la filtrazione glomerulare avviene:,C,morfologia,Preclinica,C,C,C
1590,in caso di ostruzione della vena porta si attivano le seguenti anastomosi:,C,morfologia,Preclinica,C,C,C
1591,le cellule di langherans della cute:,D,morfologia,Preclinica,D,D,D
1592,"nella maggior parte degli individui, il fascio atrioventricolare è vascolarizzato:",D,morfologia,Preclinica,B,D,C
1593,il liquor cefalorachidiano entra nello spazio subaracnoideo attraverso:,D,morfologia,Preclinica,D,D,B
1594,i linfociti:,B,morfologia,Preclinica,B,B,B
1595,l'arteria omerale nel braccio contrae rapporti con il nervo,A,morfologia,Preclinica,B,A,D
1596,una difficoltà nel muovere la lingua fa pensare ad una compressione del nervo,C,morfologia,Preclinica,C,C,C
1597,il dolore anginoso è spesso irradiato dalla regione sottosternale e toracica sinistra alla spalla e alla faccia mediale del braccio sinistro perché:,C,morfologia,Preclinica,B,C,B
1598,nel chiasma ottico si incrociano :,B,morfologia,Preclinica,B,B,B
1599,ad una donna viene fatta una diagnosi di adenocarcinoma localizzato alla testa del pancreas. quali strutture anatomiche potrebbe essere stata interessata?,C,morfologia,Preclinica,C,"CDE sono plausibili ma la più direttamente interessata è C, tuttavia, in base alle conoscenze anatomiche, tutte le opzioni C, D e B sono plausibili. L'arteria mesenterica inferiore (A) è meno probabile perché è più distante dalla testa del pancreas rispetto alle altre strutture elencate. L'opzione E, rene sinistro, non è direttamente adiacente alla testa del pancreas.

La risposta è C.",C
1600,a livello sinaptico quale delle seguenti affermazioni è corretta?,A,morfologia,Preclinica,E,A,A
1601,quale delle seguenti affermazioni riguardanti un segmento broncopolmonare è corretta?,A,morfologia,Preclinica,C,A,C
1602,quale delle seguenti strutture non è presente nel piccolo omento?,C,morfologia,Preclinica,B,C,E
1603,il midollo spinale termina a quale livello vertebrale?,E,morfologia,Preclinica,C,E,C
1604,le ossa del carpo sono:,B,morfologia,Preclinica,B,B,B
1605,"tutte le seguenti affermazioni sul canale inguinale sono corrette, tranne:",D,morfologia,Preclinica,D,D,B
1606,quali delle seguenti affermazioni riguardanti gli elementi del funicolo spermatico è corretta?:,E,morfologia,Preclinica,E,E,E
1607,quali muscoli dovrebbero essere coinvolti nella riabilitazione dell'incontinenza urinaria da sforzo?,A,morfologia,Preclinica,A,A,A
1608,e' cigliato l'epitelio:,D,morfologia,Preclinica,D,D,D
1609,quali delle seguente affermazioni riguardanti gli alveoli polmonari è corretta:,B,morfologia,Preclinica,B,B,B
1610,gli osteoclasti:,C,morfologia,Preclinica,E,C,E
1611,la papilla del vater è situata:,A,morfologia,Preclinica,A,A,A
1612,la roncopatia da un punto di vista anatomico è dovuta,E,morfologia,Preclinica,E,B,E
1613,una donna si lamenta di attacchi ricorrenti di dolore al quadrante superiore destro dell'addome dopo pasti ricchi di grassi. a quale organo riferiresti il dolore ?,B,morfologia,Preclinica,B,B,B
1614,il piccolo omento contiene:,D,morfologia,Preclinica,D,D,D
1615,quale delle seguenti affermazioni sul giro precentrale del lobo frontale e' corretta?,D,morfologia,Preclinica,B,D,D
1616,l'epitelio pavimentoso stratificato è presente in tutte le strutture indicate tranne:,C,morfologia,Preclinica,C,C,C
1617,la vena testicolare di sinistra:,B,morfologia,Preclinica,B,B,B
1618,"tutte le seguenti affermazioni che riguardano l'ernia inguinale indiretta sono corrette, tranne:",B,morfologia,Preclinica,B,B,B
1619,un paziente con una paralisi periferica del nervo faciale destro,B,morfologia,Preclinica,B,B,B
1620,quale di queste ghiandole e' innervata dal ix paio dei nervi cranici?,D,morfologia,Preclinica,A,D,D
1621,"quale caratteristiche identificano un bacino tipicamente femminile (ginoide), rispetto a uno tipicamente maschile (androide)?",E,morfologia,Preclinica,E,E,E
1622,il muscolo detrusore della vescica urinaria è costituito da:,B,morfologia,Preclinica,B,B,B
1623,dal tripode celiaco originano:,B,morfologia,Preclinica,B,B,B
1624,il dolore che deriva dal peritoneo parietale è di tipo:,A,morfologia,Preclinica,A,A,A
1625,il muscolo grande gluteo:,D,morfologia,Preclinica,B,D,D
1626,quali delle seguenti cellule sono gli unici neuroni proiettivi della corteccia cerebellare?,B,morfologia,Preclinica,B,B,B
1627,il dotto toracico si apre:,B,morfologia,Preclinica,B,B,B
1628,quale di queste strutture anatomiche non ha rapporti con l'uretere destro?,E,morfologia,Preclinica,A,B,C
1629,la cartilagine elastica si riscontra in:,C,morfologia,Preclinica,C,C,B
1630,"in una articolazione mobile, i capi articolari che vengono a contatto sono rivestiti da:",D,morfologia,Preclinica,D,D,D
1631,"nell'appendice, il tessuto linfoide è situato",C,morfologia,Preclinica,C,C,C
1632,"in una radiografia antero-posteriore del torace, tutte le seguenti formazioni definiscono il margine sinistro dell'ombra cardiaca tranne:",A,morfologia,Preclinica,D,A,E
1633,gli eritrociti di un adulto contengono prevalentemente:,A,morfologia,Preclinica,A,A,A
1634,quale delle seguenti affermazioni riguardanti l'albero bronchiale è corretta?:,D,morfologia,Preclinica,D,D,D
1635,tutti i seguenti nervi cranici hanno una componente parasimpatica tranne il:,B,morfologia,Preclinica,B,B,B
1636,lo stomaco si divide in:,E,morfologia,Preclinica,D,D,E
1637,quale dei seguenti muscoli fa parte della cuffia dei rotatori:,E,morfologia,Preclinica,E,E,E
1638,le ghiandole sudoripare:,B,morfologia,Preclinica,E,E,E
1639,cosa è il parenchima di una ghiandola?,C,morfologia,Preclinica,C,C,C
1640,lo strato di epidermide su cui poggia l'unghia è detto:,E,morfologia,Preclinica,B,E,E
1641,l'adenoipofisi:,B,morfologia,Preclinica,B,B,B
1642,"nella dentizione permanente, una emiarcata alveolo dentaria ospita:",D,morfologia,Preclinica,B,D,B
1643,sono organi accessori della muscolatura:,B,morfologia,Preclinica,B,B,B
1644,quali delle seguenti condizioni è più frequentemente responsabile di un'ostruzione della vena cava inferiore?,C,morfologia,Preclinica,A,A,A
1645,tutti i seguenti elementi descrittivi del mediastino sono corretti tranne:,E,morfologia,Preclinica,E,D,D
1646,l'arteria cerebrale media deriva da:,B,morfologia,Preclinica,B,B,B
1647,tutti i seguenti tratti sono costituiti da fibre il cui pirenoforo si trova nel corno grigio posteriore tranne:,C,morfologia,Preclinica,D,D,C
1648,le cellule del mesangio sono localizzate:,D,morfologia,Preclinica,D,D,D
1649,il muscolo sartorio:,B,morfologia,Preclinica,B,B,A
1650,un medico si sta preparando ad eseguire una puntura lombare. a quale livello dovrebbe inserire l'ago?,A,morfologia,Preclinica,C,A,A
1651,"tutti i seguenti processi sono responsabili dell'eiaculazione, tranne:",E,morfologia,Preclinica,E,E,E
1652,un piccolo oggetto aspirato si localizza più frequentemente nel:,E,morfologia,Preclinica,B,D,D
1653,i muscoli flessori delle dita del piede sono innervati da:,B,morfologia,Preclinica,C,B,B
1654,tutte le seguenti affermazioni riguardo alle vertebre cervicalisono corrette tranne:,C,morfologia,Preclinica,C,C,C
1655,il corpuscolo renale,B,morfologia,Preclinica,B,B,B
1656,"in una radiografia antero-posteriore del torace, il margine sinistro dell'ombra cardiaca è costituito da queste formazioni tranne:",A,morfologia,Preclinica,D,A,E
1657,"tutte le seguenti affermazioni riguardanti il legamento largo sono corrette, tranne:",C,morfologia,Preclinica,D,C,C
1658,un uomo viene accoltellato al torace . la ferita è localizzata nel 5° spazio intercostale sinistro subito medialmente alla linea emiclaveare. quali strutture vitali possono essere state danneggiate?,A,morfologia,Preclinica,A,A,A
1659,il collo dell'utero è in rapporto:,D,morfologia,Preclinica,E,D,D
1660,quale delle seguenti affermazioni riguardanti il seno carotideo è corretta?:,B,morfologia,Preclinica,C,B,B
1661,il corpo luteo è:,C,morfologia,Preclinica,C,C,C
1662,le arterie arciformi del rene sono rami:,D,morfologia,Preclinica,D,D,A
1663,le ghiandole salivari:,C,morfologia,Preclinica,C,C,C
1664,le ovaje sono situate:,A,morfologia,Preclinica,C,A,E
1665,"una donna di 45 anni, impiegata, lamenta formicolio alla mano con interessamento della superficie palmare del 1°, 2° e 3° dito associato a debolezza dei muscoli dell'eminenza tenare. quale nervo è verosimilmente interessato ?",D,morfologia,Preclinica,D,D,D
1666,il putamen,D,morfologia,Preclinica,A,D,A
1667,la vena porta conduce al fegato la seguente percentuale di sangue:,C,morfologia,Preclinica,C,C,C
1668,i nuclei motori volontari del nervo vago sono raggiunti da quale dei seguenti tratti:,D,morfologia,Preclinica,D,D,D
1669,"l'arteria succlavia nell'attraversare la base del collo, è generalemnete collocata tra:",B,morfologia,Preclinica,C,B,B
1670,tutti i seguenti elementi descrittivi del mediastino sono cirretti tranne:,E,morfologia,Preclinica,E,D,D
1671,qual è il tipo di secrezione caratteristica delle ghiandole sebacee?,C,morfologia,Preclinica,C,C,C
1672,la propagazione dell'impulso contrattile dalle fibre miocardiche atriali alle ventricolari avviene tramite:,D,morfologia,Preclinica,D,D,A
1673,l'apertura dell'orecchio medio su cui poggia la base della staffa è:,D,morfologia,Preclinica,D,D,D
1674,"tutti i seguenti dati descrittivi del plesso lombare sono corretti, tranne:",B,morfologia,Preclinica,E,B,B
1675,la prostata è:,B,morfologia,Preclinica,B,B,B
1676,i vasi principali dell'arco aortico sono:,B,morfologia,Preclinica,B,B,B
1677,le linee emiclaveari sono:,D,morfologia,Preclinica,D,D,D
1678,in quale tra le seguenti strutture può prendere origine un grosso embolo che vada ad ostruire l'arteria polmonare destra?,D,morfologia,Preclinica,B,D,E
1679,quale delle seguenti coppie di muscoli si inserisce nella zampa d'oca?,D,morfologia,Preclinica,B,D,B
1680,quale grossa arteria decorre posteriormente allo stomaco e può essere perforata da un'ulcera gastrica posteriore?,B,morfologia,Preclinica,B,B,B
1681,quale di queste strutture non è presente nel canale inguinale del maschio:,A,morfologia,Preclinica,E,A,E
1682,il liquor è contenuto:,D,morfologia,Preclinica,D,D,D
1683,quale delle seguenti affermazioni riguardanti il fascicolo gracile è corretta:,E,morfologia,Preclinica,D,E,D
1684,la comunicazione tra le fibre miocardiche atriali e ventricolari è stabilita da:,D,morfologia,Preclinica,C,D,D
1685,l'impossibilita' a flettere plantarmente il piede puo' conseguire a lesione del:,A,morfologia,Preclinica,A,A,B
1686,la corteccia visiva è vascolarizzata principalmente dall'arteria:,D,morfologia,Preclinica,B,D,B
1687,le articolazioni si dividono in:,C,morfologia,Preclinica,C,C,C
1688,quale area del cuore tra quelle indicate e' vascolarizzata dal ramo circonflesso dell' arteria coronaria sinistra:,A,morfologia,Preclinica,A,A,A
1689,in quale di questi organi non sono presenti cellule caliciformi mucipare:,A,morfologia,Preclinica,B,A,A
1690,"per quanto riguarda l'uraco o legamento ombelicale mediano, quale tra le seguenti è affermazione corretta ?",B,morfologia,Preclinica,B,B,B
1691,la branca oftalmica del nervo oftalmico passa attraverso:,D,morfologia,Preclinica,C,D,D
1692,"tutte le seguenti cellule sono contenute nella cute, tranne:",E,morfologia,Preclinica,E,E,E
1693,le cellule del tessuto adiposo bianco:,A,morfologia,Preclinica,A,A,A
1694,il drenaggio linfatico della ghiandola mammarica a quale delle seguenti stazioni linfonodali è afferente?,B,morfologia,Preclinica,B,B,B
1695,i dischi intervertebrali:,C,morfologia,Preclinica,D,C,C
1696,il più importante nervo motore per la laringe e':,D,morfologia,Preclinica,D,D,D
1697,il sistema della vena porta si forma dalla confluenza delle vene,E,morfologia,Preclinica,A,E,C
1698,le fibre nervose mieliniche di un nervo periferico sono costituite da:,C,morfologia,Preclinica,C,C,C
1699,il rene come organo endocrino produce,C,morfologia,Preclinica,C,C,C
1700,il tubulo contorto prossimale del nefrone è rivestito da:,E,morfologia,Preclinica,E,E,E
1701,premesso che la circolazione cerebrale proviene dalle arterie carotidi interne e dalle arterie quali delle seguenti anomalie provocate dalla chiusura improvvisa di una delle arterie vertebrali:,B,morfologia,Preclinica,B,B,B
1702,il cuore è mantenuto in sede dai legamenti:,B,morfologia,Preclinica,A,C,B
1703,il dotto parotideo si apre nella cavità orale a livello della corona del:,B,morfologia,Preclinica,A,B,E
1704,la parete anteriore del canale inguinale e costituita da:,C,morfologia,Preclinica,C,C,C
1705,la cauda equina consiste di quali dei seguenti componenti:,E,morfologia,Preclinica,E,C,C
1706,un paziente presenta un campo visivo normale e assenza dei riflessi diretti e consensuali alla luce. quale dei seguenti nervi è interessato?,D,morfologia,Preclinica,B,D,E
1707,il vaso chilifero presente nei villi intestinali ha funzione di :,D,morfologia,Preclinica,E,D,E
1708,nella espirazione tranquilla si contrae:,A,morfologia,Preclinica,D,A,A
1709,in quante parti si suddivide la laringe:,A,morfologia,Preclinica,A,A,A
1710,la capsula articolare:,D,morfologia,Preclinica,D,D,D
1711,"tutte le seguenti affermazioni sulla retina sono corrette, tranne:",B,morfologia,Preclinica,B,B,B
1712,"per penetrare con un ago nella cavità pleurica lungo la linea medio-ascellare, si passerà attraverso tutte le seguenti strutture, tranne:",B,morfologia,Preclinica,B,B,E
1713,tutte le seguenti cellule sono localizzate nella cute tranne:,E,morfologia,Preclinica,D,E,E
1714,le plasmacellule:,E,morfologia,Preclinica,E,E,E
1715,l'arteria emorroidaria superiore nasce:,C,morfologia,Preclinica,C,C,C
1716,il seguente muscolo è importante per la stabilità del ginocchio:,C,morfologia,Preclinica,C,C,C
1717,nell'uretra prostatica si aprono:,D,morfologia,Preclinica,D,D,D
1718,una lesione del fascio piramidale destro a livello della parte caudale del mesencefalo causa:,A,morfologia,Preclinica,C,C,C
1719,le arterie spermatiche interne derivano normalmente:,D,morfologia,Preclinica,D,D,D
1720,il muscolo adduttore del pollice è innervato da:,A,morfologia,Preclinica,A,A,B
1721,"tutte le seguenti affermazioni riguardo l'egresso toracico sono corrette, tranne:",D,morfologia,Preclinica,D,B,D
1722,il nervo ulnare a livello del gomito passa:,A,morfologia,Preclinica,A,A,A
1723,il controllo della formazione e del rimodellamento del tessuto osseo risulta dalla interazione di tutti i fattori sottostanti tranne uno. indicarlo:,D,morfologia,Preclinica,D,D,D
1724,un giovane che è caduto dalla moto si lamenta di un dolore acuto al lato sinistro. l'esame radiologico evidenzia la frattura della 11 e 12° costa sinistra. quali organi addominali tra quelli indicati è stato probabilmente lesionato?,B,morfologia,Preclinica,B,B,B
1725,il pancreas ha rapporti con,B,morfologia,Preclinica,E,E,B
1726,e' un componente del peduncolo cerebellare superiore:,B,morfologia,Preclinica,C,B,C
1727,quali delle seguenti strutture possono essere compresse da una massa occupante spazio dell'apice polmonare:,C,morfologia,Preclinica,A,A,B
1728,quale tipo cellulare qui elencato produce istamina:,A,morfologia,Preclinica,A,A,A
1729,la sensibilità tattile epicritica e propriocettiva cosciente viaggia lungo la via,B,morfologia,Preclinica,B,B,B
1730,i bronchioli,C,morfologia,Preclinica,C,C,E
1731,i lobi del polmone di destra sono:,C,morfologia,Preclinica,C,C,C
1732,le fibre muscolari scheletriche:,B,morfologia,Preclinica,C,B,C
1733,il riflesso di accomodazione:,C,morfologia,Preclinica,C,C,C
1734,nella lesione del nervo ascellare quale dei seguenti movimenti puo' essere diminuito?,D,morfologia,Preclinica,D,D,D
1735,il nefrone è costituito da:,B,morfologia,Preclinica,B,B,B
1736,la tonsilla linguale è situata nel:,D,morfologia,Preclinica,D,D,D
1737,da quali delle seguenti strutture provengono le fibre parasimpatiche pregangliari per l'intestino tenue:,D,morfologia,Preclinica,D,D,D
1738,nell'articolazione del ginocchio:,A,morfologia,Preclinica,D,A,A
1739,quando un neonato prematuro ha difficoltà respiratorie questo è dovuto al fatto che:,D,morfologia,Preclinica,D,D,D
1740,l'estremità ovarica della tuba uterina si apre:,B,morfologia,Preclinica,B,B,B
1741,il peritoneo è una membrana di tipo:,C,morfologia,Preclinica,C,C,C
1742,noduli linfatici aggregati si riscontrano soprattutto in:,C,morfologia,Preclinica,C,C,C
1743,lo scavo di douglas,B,morfologia,Preclinica,A,B,C
1744,le colonne renali del bertin sono costituite:,A,morfologia,Preclinica,B,B,B
1745,l'ipotalamo si trova fra:,B,morfologia,Preclinica,B,B,B
1746,una lesione del nervo peroniero comune (sciatico popliteo esterno) causa:,B,morfologia,Preclinica,B,B,B
1747,"durante la deambulazione, l'equilibrio trasversale del bacino è principalmente mantenuto dall'azione dei muscoli:",A,morfologia,Preclinica,A,A,A
1748,il pancreas è:,E,morfologia,Preclinica,E,E,E
1749,in una placca motrice termina:,C,morfologia,Preclinica,C,C,C
1750,la sindrome di horner e' piu' frequentemente espressione di :,E,morfologia,Preclinica,C,E,E
1751,in quale delle seguenti vene drena il plesso pampiniforme:,A,morfologia,Preclinica,A,A,A
1752,qual e' lo strato piu' superficiale dell'epidermide?,C,morfologia,Preclinica,C,C,C
1753,a proposito di patologia ovarica quale tra le seguenti è un'affermazione corretta?,A,morfologia,Preclinica,A,A,A
1754,"l'arteria femorale profonda, decorre:",C,morfologia,Preclinica,B,B,D
1755,in quale delle seguenti strutture si trova la tunica vaginale?,A,morfologia,Preclinica,A,A,A
1756,quale di questi organi ha un epitelio di transizione?,C,morfologia,Preclinica,C,C,C
1757,in quale di questi tessuti c'e' un epitelio colonnare?,A,morfologia,Preclinica,A,A,A
1758,quali delle seguenti caratteristiche e' tipica dei carcinomi duttali in situ (della mammella):,A,morfologia,Preclinica,B,A,B
1759,l'aspetto istologico classico del microcitoma polmonare corrisponde a:,E,morfologia,Preclinica,E,E,E
1760,l'apporto ematico al piccolo intestino e' fornito dalla:,B,morfologia,Preclinica,B,B,B
1761,"cosa colora gli elementi basofili nella colorazione conosciuta come ""h&e"" ?",B,morfologia,Preclinica,B,B,B
1762,l'apporto ematico al sigma e' fornito dalla:,A,morfologia,Preclinica,A,A,A
1763,quale delle seguenti affermazioni e' sbagliata riguardando i tumori sierosi borderline dell'ovaio?,C,morfologia,Preclinica,C,C,C
