,id,question,A,B,C,D,E,answer,category,macro category
977,978,il più adatto studio epidemiologico per valutare l'insorgenza della leucemia in una comunità esposta ad un incidente nucleare é:,studio ecologico,studio trasversale,studio di coorte,studio caso-controllo,studio sperimentale,C,Area Clinica 2019,medicina legale e sanità pubblica
978,979,il quadro clinico caratterizzante la tossinfezione da botulismo riguarda:,febbre,vari sintomi a livello del sistema nervoso centrale,diarrea,eruzioni cutanee,asma bronchiale,B,Area Clinica 2019,medicina legale e sanità pubblica
979,980,la specificità di un test diagnostico si calcola con la formula:,veri positivi/ totale sani,veri negativi/ totale sani,falsi negativi/ totale sani,falsi positivi/ totale sani,veri negativi/totale malati,B,Area Clinica 2019,medicina legale e sanità pubblica
980,981,"in uno screening per accertare la sieropositività per hiv tra i militari di leva risulta un valore predittivo positivo di 13,3%. da questo si può ricavare che:",il numero dei falsi positivi sarà molto basso,il numero dei falsi positivi sarà molto alto,il numero dei falsi negativi sarà molto basso,il numero dei falsi negativi sarà molto alto,l'hiv è una condizione frequente,B,Area Clinica 2019,medicina legale e sanità pubblica
981,982,se nell'85% dei pap-test risultati positivi consegue una diagnosi istologica di carcinoma della cervice uterina:,il valore predittivo positivo è 85%,la sensibilità è del 85%,la specificità è del 15%,la proporzione di falsi negativi è 85%,la proporzione di falsi positivi è 15%,A,Area Clinica 2019,medicina legale e sanità pubblica
982,983,il tasso di fecondità generale è il rapporto tra:,n° di nascite (nati vivi e nati morti) nell'anno e popolazione a metà anno,n° di nati vivi nell'anno e popolazione a metà anno,n° di parti in un anno e popolazione totale,n° di nati vivi in un anno e popolazione femminile tra 15 e 49 anni,n° di morti nell'anno e popolazione a metà anno,D,Area Clinica 2019,medicina legale e sanità pubblica
983,984,in quale delle seguenti forme di epatite virale deve necessariamente esserci una coinfezione per la replicazione virale ?,epatite a,epatite b,epatite c,epatite d,epatite e,D,Area Clinica 2019,medicina legale e sanità pubblica
984,985,"in un test di screening in cui la sensibilità del test è del 95%, la percentuale di falsi negativi é:",5%,95%,100%,non è possibile calcolarla,nessuna delle risposte indicate,A,Area Clinica 2019,medicina legale e sanità pubblica
985,986,uno studio epidemiologico che permette di calcolare la prevalenza è uno studio di tipo:,ecologico,di coorte,caso-controllo,trasversale,longitudinale,D,Area Clinica 2019,medicina legale e sanità pubblica
986,987,negli studi epidemiologici eziologici per fattore di confondimento si intende:,una distorsione dei risultati dovuta alla non rispondenza ai questionari,una distorsione dei risultati dovuta al rifiuto di essere sottoposto a domande tratte dai questionari,una distorsione dei risultati dovuta ad errori strumentali,una distorsione dei risultati dovuta alle eccessive perdite al follow-up,un elemento associato sia al fattore di rischio che all'esito in grado di modificare i risultati finali dello studio,E,Area Clinica 2019,medicina legale e sanità pubblica
987,988,l'incidenza annuale della sindrome di creutzfeldt-jakob in italia è approssimativamente di:,1 su 10.000.000,1 su 1.000.000,1 su 100.000,1 su 5.000,1 su 1.000,B,Area Clinica 2019,medicina legale e sanità pubblica
988,989,cosa sono le nitrosammine?,"sono sostanze prodotte da ceppi di miceti, presenti soprattutto nelle derrate alimentari",fanno parte del gruppo dei pesticidi che possono residuare negli alimenti,sono tossine naturalmente presenti in alcuni alimenti quali le patate,sono sostanze cancerogene che si producono durante la affumicatura dei cibi,sono composti organici ottenuti dalla reazione dei nitriti con una ammina secondaria,E,Area Clinica 2019,medicina legale e sanità pubblica
989,990,la sensibilità di un test di screening è il rapporto tra:,malati positivi al test e totale di malati,malati negativi al test e totale di malati,non malati positivi al test e totale dei non malati,non malati negativi al test e totale dei non malati,nessuna delle risposte indicate,A,Area Clinica 2019,medicina legale e sanità pubblica
990,991,quali delle seguenti affermazioni sui vaccini è corretta?,non si possono somministrare nella stessa seduta vaccini diversi tranne quelli combinati in una unica preparazione,per i vaccini costituiti da anatossine è sufficiente un'unica inoculazione,per la preparazione del vaccino antiepatite b è utilizzata la tecnica del dna ricombinante,i vaccini uccisi hanno una efficacia protettiva maggiore di quelli vivi purché venga rispettata l'integrità genica dei virus o batteri in essi contenuti,i vaccini uccisi sono responsabili di maggiori effetti collaterali,C,Area Clinica 2019,medicina legale e sanità pubblica
991,992,l'accreditamento istituzionale:,viene rilasciato dalla regione di appartenenza della struttura da accreditare,viene definito a partire dei criteri contenuti nel piano sanitario nazionale,è sinonimo di autorizzazione all'esercizio di attività sanitarie,è un pre-requisito per il rilascio dell'autorizzazione all'esercizio di attività sanitarie,non è obbligatorio,A,Area Clinica 2019,medicina legale e sanità pubblica
992,993,"in un test di screening in cui la specificità del test è del 90%, la percentuale di falsi positivi é:",5%,90%,10%,20%,non è possibile calcolarla,C,Area Clinica 2019,medicina legale e sanità pubblica
993,994,la certificazione iso 9000:,valuta la soddisfazione dei clienti,e' inerente la qualità dell'organizzazione,e' orientata agli esiti,e' obbligatoria,attesta la capacità dei processi di soddisfare i requisiti contrattuali del cliente,B,Area Clinica 2019,medicina legale e sanità pubblica
994,995,ai fini dei limiti di intensità acustica (cfr. dpcm 1.3.1991) le aree ospedaliere rientrano nell'ambito della:,classe i (aree particolarmente protette),classe ii (aree destinate ad uso prevalentemente residenziale),classe iii (aree di tipo misto),classe iv (aree di intensa attività umana),classe v (aree prevalentemente industriali),A,Area Clinica 2019,medicina legale e sanità pubblica
995,996,per quali tra i seguenti fattori di rischio ambientali vi è evidenza scientifica certa di cancerogenicità ?,radiazioni non ionizzanti,benzene,ozono,ossido di carbonio,anidride carbonica,B,Area Clinica 2019,medicina legale e sanità pubblica
996,997,qual è il test statistico più appropriato per analizzare i dati di uno studio epidemiologico di confronto tra la prevalenza di hbsag in due gruppi di lavoratori:,chi-quadrato,t di student,analisi della varianza,regressione lineare semplice,regressione lineare multipla,A,Area Clinica 2019,medicina legale e sanità pubblica
997,998,il drg è:,una metodologia per la classificazione delle cause di morte,una metodologia di rimborso delle prestazioni di ricovero ospedaliero,il documento accompagnatorio delle cartelle cliniche che riporta le autorizzazioni dei pazienti alle terapie invasive,una metodologia per la notifica obbligatoria delle malattie infettive,un sistema di tariffe per finanziare i medici di medicina generale,B,Area Clinica 2019,medicina legale e sanità pubblica
998,999,il più adatto studio epidemiologico per valutare in tempi brevi il ruolo di un fattore di rischio individuale nello sviluppo di una malattia rara:,studio ecologico,studio trasversale,studio a coorte,studio caso-controllo,studio sperimentale,D,Area Clinica 2019,medicina legale e sanità pubblica
999,1000,"se in un centro di terapia intensiva giungono contemporaneamente due ammalati in pericolo di vita e vi è un solo posto a disposizione, il sanitario a chi deve dare assistenza?",a nessuno dei due,affidarsi alla sorte,al più giovane,al più vecchio,a quello che ha maggiori probabilità di salvarsi,E,Area Clinica 2019,medicina legale e sanità pubblica
1000,1001,"il tempo di dimezzamento delle immunoglobuline umane somministrate a scopo di profilassi, dopo l'inoculazione intramuscolare, è di circa:",2 giorni,25 giorni,6-8 settimane,3 mesi,nessuna delle risposte indicate,B,Area Clinica 2019,medicina legale e sanità pubblica
1001,1002,il piano sanitario nazionale è predisposto da:,governo,presidente della repubblica,regione,provincia,comune,A,Area Clinica 2019,medicina legale e sanità pubblica
1002,1003,il bias in uno studio epidemiologco:,e' una distorsione dei risultati dovuta alla non rispondenza ai questionari,e' una distorsione dei risultati dovuta al rifiuto di essere sottoposto a domande tratte dai questionari,e' una distorsione dei risultati dovuta ad errori strumentali,e' una distorsione dei risultati dovuta ad un qualsiasi elemento che produca risultati non corrispondenti alla realtà,la fase nella quale si standardizzano le metodiche di misurazione,D,Area Clinica 2019,medicina legale e sanità pubblica
1003,1004,quale delle seguenti affermazioni circa i modelli di studio in epidemiologia è corretta?,in uno studio sperimentale l'osservatore decide chi viene esposto o meno a un determinato confondente,in uno studio retrospettivo l'osservatore parte dall'esposizione al determinante per identificare chi sviluppa l'evento in studio,in una sperimentazione clinica controllata alla serie dei casi si confronta una serie di controllo,in uno studio in doppio cieco né il paziente né l'osservatore conoscono l'attribuzione del paziente stesso all'esposizione in studio,uno studio caso-controllo è per sua natura prospettico,D,Area Clinica 2019,medicina legale e sanità pubblica
1004,1005,"quale, tra i seguenti tumori maligni, ha mostrato negli ultimi decenni nel sesso femminile, in italia, un evidente aumento dei tassi di mortalità ?",mammella,stomaco,collo dell'utero,ovaio,polmone,E,Area Clinica 2019,medicina legale e sanità pubblica
1005,1006,quali dei seguenti vaccini è costituito da anatossine ?,antiepatite b,antitetanico,antipertossico,antimorbilloso,antitubercolare,B,Area Clinica 2019,medicina legale e sanità pubblica
1006,1007,un' azienda sanitaria è:,una casa produttrice di medicinali,un'azienda produttrice di articoli sanitari,la struttura di gestione dei servizi sanitari di un determinato ambito del territorio regionale,un insieme di ospedali e cliniche specialistiche,un ospedale sia pubblico che privato,C,Area Clinica 2019,medicina legale e sanità pubblica
1007,1008,la sensibilità di un test corrisponde a:,probabilità di osservare un risultato positivo,probabilità di osservare un test con risultato positivo tra i malati,frequenza dei malati con test positivo,probabilità di osservare un risultato negativo tra i malati,numero di malati con test positivo,B,Area Clinica 2019,medicina legale e sanità pubblica
1008,1009,il più importante vantaggio di uno studio epidemiologico caso-controllo:,la possibilità di calcolare la prevalenza puntuale della malattia considerata,la possibilità di calcolare la prevalenza periodale della malattia considerata,la possibilità di calcolare l'incidenza della malattia considerata,la possibilità di utilizzarlo anche per malattie molto rare,l'utilizzo di dati già raccolti attraverso altre fonti,D,Area Clinica 2019,medicina legale e sanità pubblica
1009,1010,quali delle seguenti regioni geografiche ha attualmente la maggiore incidenza di infezioni da virus hiv?,america latina,nord-america,asia,nord-africa,africa sub-sahariana,E,Area Clinica 2019,medicina legale e sanità pubblica
1010,1011,un dipartimento aziendale quando aggrega e coordina l'attività di unità operative ospedaliere e territoriali si definisce:,ospedaliero,transmurale,misto,gestionale,tecnico-scientifico,B,Area Clinica 2019,medicina legale e sanità pubblica
1011,1012,la vaccinazione implica lo sviluppo di una immunizzazione di tipo:,naturale attiva,naturale passiva,artificiale attiva,artificiale passiva,tutte le risposte indicate,C,Area Clinica 2019,medicina legale e sanità pubblica
1012,1013,quale dei seguenti microrganismi viene solitamente ricercato nelle acque come indicatore di contaminazione fecale ?,virus dell'epatite b,escherichia coli,vibrio coleræ,virus dell'epatite a,nessuna delle risposte indicate,B,Area Clinica 2019,medicina legale e sanità pubblica
1013,1014,gli studi caso-controllo:,sono complessi e molto costosi,permettono di calcolare l'incidenza e la prevalenza,stimano il rischio relativo (rr) con l'odds ratio (or),permettono di calcolare il rischio relativo (rr),richiedono tempi più lunghi rispetto agli studi di coorte,C,Area Clinica 2019,medicina legale e sanità pubblica
1014,1015,le aziende sanitarie locali (a.s.l.) sono una vera e propria azienda pubblica dotata di autonomia:,organizzativa,amministrativa,organizzativa e patrimoniale,organizzativa e amministrativa,"organizzativa, patrimoniale e amministrativa",E,Area Clinica 2019,medicina legale e sanità pubblica
1015,1016,l'assistenza sanitaria di base è,la cura delle malattie nel territorio,l'insieme di interventi sanitari a livello ospedaliero,la prevenzione primaria nei luoghi decentrati,la medicina delle evidenze,gli interventi diagnostici minimi garantiti,A,Area Clinica 2019,medicina legale e sanità pubblica
1016,1017,quale delle seguenti affermazioni sull'infezione da hcv è corretta?,lo screening per hcv del sangue da donatori non viene effettuato,e' disponibile un vaccino,gli operatori sanitari hanno una prevalenza di positività intorno all'1%,in caso di esposizione lavorativa sono disponibili misure di immunoprofilassi specifica,i sieropositivi all'hcv devono essere posti in isolamento,C,Area Clinica 2019,medicina legale e sanità pubblica
1017,1018,il processo di pianificazione strategica è:,la definizione degli obiettivi dell'organizzazione aziendale,l'individuazione delle risorse necessarie per il perseguimento degli obiettivi,la allocazione delle risorse all'interno dell'azienda,sinonimo di budget,effettuato dal collegio dei sanitari,A,Area Clinica 2019,medicina legale e sanità pubblica
1018,1019,si indichi il fenomeno morboso a più elevata letalità,le malattie cardiovascolari,i tumori maligni,il tetano,l'aids,nessuna delle altre risposte indicate,A,Area Clinica 2019,medicina legale e sanità pubblica
1019,1020,la differenza tra tasso di incidenza negli esposti e nei non esposti a un fattore di rischio si definisce:,rischio assoluto,rischio relativo,rischio attribuibile,tutte le altre risposte indicate,nessuna delle altre risposte indicate,C,Area Clinica 2019,medicina legale e sanità pubblica
1020,1021,per residuo fisso (o solido) di un'acqua s'intende:,il contenuto dei sali alcalino terrosi in 750 ml di acqua,il contenuto salino totale per litro di acqua,il contenuto dei bicarbonati per litro di acqua,il contenuto dei sali ad esclusione di quelli alcalino terrosi per litro di acqua,il contenuto delle sostanze organiche per litro di acqua,B,Area Clinica 2019,medicina legale e sanità pubblica
1021,1022,in quale delle seguenti forme di epatite virale la letalità può raggiungere il 20% se l'infezione è contratta durante il terzo trimestre di gravidanza ?,epatite a,epatite b,epatite c,epatite d,epatite e,E,Area Clinica 2019,medicina legale e sanità pubblica
1022,1023,le linee guida:,vengono prodotte sulla base di procedure,"vengono tendenzialmente prodotte a livello locale (ospedale, asl, ecc.)",non fanno parte del ciclo del technology assessment,vengono rivolte solo ai medici,vengono elaborate in modo sistematico in base alla evidenze scientifiche disponibili,E,Area Clinica 2019,medicina legale e sanità pubblica
1023,1024,i rifiuti derivanti da attività domestiche sono inclusi tra quelli (cfr. d.lgs. 22/97):,urbani non pericolosi,urbani pericolosi,speciali non pericolosi,speciali pericolosi,tossici e nocivi,A,Area Clinica 2019,medicina legale e sanità pubblica
1024,1025,per quali tra i seguenti fattori di rischio vi è evidenza scientifica certa di cancerogenicità ?,idrocarburi policiclici aromatici,benzene,radon,radiazioni ionizzanti,tutte le risposte indicate,E,Area Clinica 2019,medicina legale e sanità pubblica
1025,1026,"uno studio epidemiologico che esamina una popolazione in un preciso istante al fine di determinare lo stato di malattia, l'esposizione ad un particolare fattore o la presenza di una qualsiasi altra condizione viene definito:",studio di prevalenza o trasversale,studio per coorte o longitudinale,studio caso-controllo o retrospettivo,studio sperimentale,nessuna delle risposte indicate,A,Area Clinica 2019,medicina legale e sanità pubblica
1026,1027,il tasso di mortalità infantile è il rapporto tra:,n° annuo di morti di età inferiore ad un anno e n° nascite (vivi + morti) nello stesso anno,n° annuale di morti in bambini di età inferiore ad un anno e n° di nati vivi nello stesso anno,n° di morti per anno nei primi 28 giorni di vita e n° di nati vivi in un anno,n° di nati morti + n° morti nella prima settimana e n° di nati vivi + n° di nati morti,n° di morti in un anno e popolazione infantile (minore o uguale a 8 anni d'età),B,Area Clinica 2019,medicina legale e sanità pubblica
1027,1028,"quale, tra i seguenti tumori maligni del sesso maschile, ha mostrato negli ultimi decenni, in italia, una evidente riduzione dei tassi di mortalità ?",polmone,stomaco,fegato e vie biliari,prostata,colon-retto,B,Area Clinica 2019,medicina legale e sanità pubblica
1028,1029,un rischio relativo superiore a 1 indica presumibilmente che:,il supposto fattore di rischio non ha influenza sullo sviluppo della malattia,l'incidenza negli esposti è inferiore a quella nei non esposti,il supposto fattore di rischio è protettivo nei confronti dello sviluppo della malattia considerata,il fattore di rischio ha influenza sullo sviluppo della malattia considerata,l'incidenza negli esposti è uguale a quella dei non esposti.,D,Area Clinica 2019,medicina legale e sanità pubblica
1029,1030,quali dei seguenti vaccini è costituito da virus viventi attenuati?,antinfluenzale,antifebbre gialla,antipertosse,antipolio tipo salk (ipv),antiepatite a,B,Area Clinica 2019,medicina legale e sanità pubblica
1030,1031,quale tra i seguenti componenti è presente in maggior percentuale nei rifiuti solidi secondo le più recenti stime per l'italia ?,sostanze organiche,materiale cellulosico,materiale plastico,metalli ferrosi,vetro,A,Area Clinica 2019,medicina legale e sanità pubblica
1031,1032,qual e' il tasso alcolemico massimo ammesso dal codice della strada per la guida di autoveicoli:,"0,3g/litro","0,5g/litro","0,8g/litro",1g/litro,"1,2g/litro",B,Area Clinica 2019,medicina legale e sanità pubblica
1032,1033,le cure palliative sono:,un rimedio di seconda scelta da attuare quando non c'e' una terapia efficace,cure garantite ai malati terminali solo negli hospice,efficaci solo nel trattamento del dolore,un approccio multidisciplinare nell'assistenza dei malati inguaribili,trattamenti omeopatici utilizzati da personale paramedico,D,Area Clinica 2019,medicina legale e sanità pubblica
1033,1034,in tema di responsabilita' civile del medico:,la responsabilita' del medico dipendente del servizio sanitario nazionale e' sempre di natura extracontrattuale,la responsabilita' del medico anche ove dipendente del s.s.n. e' sempre di natura contrattuale,la responsabilita' del medico non dipendente del s.s.n. e' sempre di natura extracontrattuale,la responsabilita' del medico e' in genere di tipo extracontrattuale,il nesso di causalità non è indispensabile,B,Area Clinica 2019,medicina legale e sanità pubblica
1034,1035,"nell'ambito della colpa generica, imperizia significa:",avventatezza,svogliatezza e leggerezza,superficialita' e carenza di sollecitudine,carenza della preparazione tecnica adeguata e necessaria,disattenzione e dimenticanza,D,Area Clinica 2019,medicina legale e sanità pubblica
1035,1036,"cosa si intende con la dizione ""prognosi riservata""?",che il paziente si trova in pericolo di morte,che si tratta di lesione grave,che si tratta di lesione gravissima,che la malattia e' insanabile,che al momento non si puo' stabilire l'evoluzione della malattia,E,Area Clinica 2019,medicina legale e sanità pubblica
1036,1037,come e' strutturato il sistema classificatorio icidh ?,in gruppi di malattie,in scale di autonomia,in scale di attivita',"in menomazioni, disabilita' ed handicap",per alberi decisionali,D,Area Clinica 2019,medicina legale e sanità pubblica
1037,1038,chi e' tenuto al rispetto del codice di deontolgia medica?,i medici di medicina generale,i medici ospedalieri,i medici liberi professionisti,tutti i medici,nessuno di quelli indicati,D,Area Clinica 2019,medicina legale e sanità pubblica
1038,1039,l'uso di armi:,aggrava la lesione personale,non influisce sulla lesione personale,rende obbligatoria la denuncia,aggrava la lesione personale se la lesione e' lieve,non è mai rilevante,A,Area Clinica 2019,medicina legale e sanità pubblica
1039,1040,"il ""danno biologico"" e':",lesione permanente dell'integrita' fisica,lesione anatomica funzionale,menomazione dell'integrita' psico fisica,lesione funzionale,lesione anatomica,C,Area Clinica 2019,medicina legale e sanità pubblica
1040,1041,perche' l'infortunio lavorativo sia riconosciuto deve procurare una inabilta' temporanea superiore a:,due giorni,tre giorni,una settimana,un mese,nessuna delle altre risposte indicate,B,Area Clinica 2019,medicina legale e sanità pubblica
1041,1042,quale e' un requisito essenziale del certificato?,veridicita',semplicita',precisione,intuibilita',brevita',A,Area Clinica 2019,medicina legale e sanità pubblica
1042,1043,si definisce invalido civile colui che:,e' inabile a qualsiasi lavoro,ha perso il lavoro in seguito ad infortunio o malattia professionale,ha perso la capacita' di guadagno nella misura del 100%,a seguito di infortunio ha avuto un danno biologico superiore al 35%,a seguito di minorazione congenita o acquisita ha una riduzione della capacita' lavorativa a meno di 1/3 o se ultra65enne abbia difficolta' a compiere gli atti quotidiani della vita,E,Area Clinica 2019,medicina legale e sanità pubblica
1043,1044,la perdita di un senso o dell'uso di un organo costituisce:,una lesione personale colposa,una lesione personale dolosa,una lesione personale grave,l'indebolimento permanente di un organo di un senso,una lesione personale gravissima,E,Area Clinica 2019,medicina legale e sanità pubblica
1044,1045,quale categoria di medici ha l'obbligo di prestare la propria opera in qualita' di ausiliare di polizia giudiziaria?,solo i medici di medicina generale,solo i pubblici ufficiali,solo i medici legali,solo i medici di direzione sanitari,tutti i medici,E,Area Clinica 2019,medicina legale e sanità pubblica
1045,1046,la copia della ricetta di sostanze stupefacenti:,va conservata per un anno,va conservata per due anni,va conservata per cinque anni,non va conservata,va conservata per sei mesi,B,Area Clinica 2019,medicina legale e sanità pubblica
1046,1047,quali tra le seguenti sono sanzioni disciplinari previste per la responsabilita' deontologica?,censura,avvertimento,sospensione,radiazione,tutte le risposte indicate,E,Area Clinica 2019,medicina legale e sanità pubblica
1047,1048,quale dei seguenti materiali biologici consente l'accertamento di un uso non recente di droghe?,sangue,saliva,sudore,capelli,urine,D,Area Clinica 2019,medicina legale e sanità pubblica
1048,1049,i grandi traumatismi sono caratterizzati da lesioni:,molteplici,multiformi,molteplici e multiformi,molteplici e multipolari,"molteplici, multiformi, multipolari",E,Area Clinica 2019,medicina legale e sanità pubblica
1049,1050,cos'e' la morte iatrogena,un tipo di morte naturale,una morte improvvisa,una morte causata da trattamento medico-chirurgico,una morte immediata,nessuna delle altre risposte indicate,C,Area Clinica 2019,medicina legale e sanità pubblica
1050,1051,la formazione della crosta:,è di tipo linfatico nelle escoriazioni di ii grado,si verifica anche nel cadavere,è indice di reazione vitale,è di colore rosso-cupo nelle escoriazioni di i grado,nessuna delle risposte indicate è corretta,C,Area Clinica 2019,medicina legale e sanità pubblica
1051,1052,tutte le seguenti affermazioni sono errate tranne:,la sottrazione di 1 litro di sangue determina comunque la morte del soggetto,"la perdita di 2-2,5 litri di sangue è mortale se avvenuta rapidamente",nello shock emorragico si osserva bradicardia,"nelle lesioni dei piccoli vasi, la morte sopraggiunge rapidamente solo se la lesione vascolare è incomunicazione con l'esterno",nella morte conseguente a shock emorragico le ipostasi sono abbondanti ed i visceri congesti,B,Area Clinica 2019,medicina legale e sanità pubblica
1052,1053,tutte le seguenti affermazioni riguardanti la malattia professionale sono esatte tranne:,deve essere contratta nell'esercizio e a causa della lavorazione espletata.,la causa è diluita nel tempo.,"è sufficiente che la malattia risulti contratta nell'ambiente di lavoro, purchè frequentato a causa delle lavorazioni stesse.",deriva esclusivamente dall'incontro dell'organismo umano con una causa violenta in occasione di lavoro,nessuna delle risposte indicate,D,Area Clinica 2019,medicina legale e sanità pubblica
1053,1054,il medico necroscopo ha il compito di,autorizzare il seppellimento,eseguire trattamenti conservativi sul cadavere,eseguire accertamenti sul cadavere per conto dell'autorità giudiziaria,effettuare il sopralluogo,accertare la morte,E,Area Clinica 2019,medicina legale e sanità pubblica
1054,1055,quando può essere omesso il referto?,mai,a discrezione del medico,sempre nei casi riguardanti minori di etaà,qualora l'assistito possa essere esposto a procedimento penale,ogni qualvolta l'assistito lo richieda,D,Area Clinica 2019,medicina legale e sanità pubblica
1055,1056,il nuovo codice di deontologia medica e' stato approvato:,nel 1998,nel 2001,nel 2014,nel 1999,nel 2007,C,Area Clinica 2019,medicina legale e sanità pubblica
1056,1057,una patologia verosimilmente causata dalle mansioni svolte dal lavoratore ma non contemplata nel sistema tabellare,non viene mai riconosciuta dall'inail quale malattia professionale,viene riconosciuta dall'inail quale malattia professionale ma liquidata solo l'indennità giornaliera per inabilità temporanea assoluta,viene riconosciuta dall'inail quale malattia professional solo se si manifesta entro il termine di tre anni,viene riconosciuta dall'inail quale malattia professionale solo se l'assicurato dimostra il nesso di causa tra lavoro e malattia presentata,viene riconosciuta dall'inail quale malattia professionale solo se il datore di lavoro ha versato i contributi assicurativi,D,Area Clinica 2019,medicina legale e sanità pubblica
1057,1058,"quando sussiste la possibilità di vita autonoma del feto, l'interruzione volontaria della gravidanza può essere praticata solo allorché:",la gravidanza o il parto comportino un grave pericolo per la vita della donna,siano state accertate anomalie o malformazioni del feto,la donna sia interdetta per infermità di mente,l'interruzione sia stata approvata dal giudice,la gravidanza sia conseguenza di una violenza sessuale,A,Area Clinica 2019,medicina legale e sanità pubblica
1058,1059,quale delle seguenti sanzioni non è prevista in caso di violazione del codice deontologico?,radiazione dall'albo professionale,censura,ammenda da versare all'ordine dei medici provinciale,richiamo,sospensione,C,Area Clinica 2019,medicina legale e sanità pubblica
1059,1060,un cadavere può essere inumato prima delle 24 ore dal decesso,nel caso di raffreddamento sotto i venti gradi,se le ipostasi sono già fisse,se la rigidità cadaverica è già risolta,in caso di decesso avvenuto in ospedale alla presenza di un medico,nel caso la morte sia accertata mediante e.c.g. per almeno 20 minuti,E,Area Clinica 2019,medicina legale e sanità pubblica
1060,1061,"in un paziente affetto da una grave malattia neoplastica, la diagnosi e la prognosi:",possono essere sottaciute al paziente,possono essere sottaciute al paziente ma non ai familiari,"devono essere rivelate, tranne che il paziente abbia espresso la volontà di non essere informato","possono essere rivelate o sottaciute, a discrezione del medico","devono essere sempre rivelate, sia pure con la necessaria cautela e gradualità",C,Area Clinica 2019,medicina legale e sanità pubblica
1061,1062,il presupposto fondamentale per la liceità dell'atto medico è,il fin di bene,la garanzia di mezzi e di risultati,il consenso dell'avente diritto,il consenso di un parente,l'assenza di rischi per la salute del paziente,C,Area Clinica 2019,medicina legale e sanità pubblica
1062,1063,al segreto professionale è tenuto,solo il medico curante,"chi ne ha notizia per il proprio stato,ufficio, professione o arte",solo il medico del pubblico servizio,ogni persona,chi ne ha notizia per il proprio ufficio i professione,B,Area Clinica 2019,medicina legale e sanità pubblica
1063,1064,il medico di medicina generale e/o il pediatra di libera scelta possono raccogliere il consenso dei propri pazienti al trattamento dei dati:,solo per iscritto,per iscritto e oralmente,solo oralmente,con raccomandata r.r.,oralmente o per iscritto,E,Area Clinica 2019,medicina legale e sanità pubblica
1064,1065,il titolare del trattamento dei dati ai sensi del codice della privacy nomina il/i responsabili:,con lettera inviata alla persona nominata,verbalmente,con lettera inviata al garante della privacy,nessuna delle risposte indicate,con lettera inviata alla persona nominata e al garante della privacy,A,Area Clinica 2019,medicina legale e sanità pubblica
1065,1066,in quali di questi casi vi è obbligo di referto:,violenza sessuale non aggravata su ragazza di 17 anni,lesioni personali dolose con durata di malattia maggiore di 20 giorni,trauma cranico con stato di coma secondario ad incidente stradale,infortunio sul lavoro con malattia della durata di 30 giorni,paziente in coma per intossicazione acuta da barbiturici,B,Area Clinica 2019,medicina legale e sanità pubblica
1066,1067,"al di fuori di alcuni casi particolari, nessun cadavere può essere chiuso in cassa, né essere sottoposto ad autopsia od a trattamenti conservativi, né essere inumato, tumulato, cremato, prima che siano trascorse",6 ore dalla morte,12 ore dalla morte,24 ore dalla morte,48 ore dalla morte,72 ore dalla morte,C,Area Clinica 2019,medicina legale e sanità pubblica
1067,1068,l'infortunio sul lavoro (ambito inail) è assicurato,su base volontaria,su base obbligatoria,obbligatoriamente solo per i lavoratori del settore industriale,solo se non è prodotto per negligenza del lavoratore,solo se il lavoratore ha sottoscritto un'apposita polizza,B,Area Clinica 2019,medicina legale e sanità pubblica
1068,1069,nelle lesioni da proiettile da arma da fuoco il foro d'entrata si differenzia dal foro d'uscita perché,presenta sempre l'orletto abraso-contuso,è sempre di diametro equivalente a quello del proiettile,presenta colature ematiche,ha sempre dimensioni maggiori,ha sempre l'aspetto stellato,A,Area Clinica 2019,medicina legale e sanità pubblica
1069,1070,chi deve fare il referto?,solo il medico legale,solo il medico curante,solo il medico che ha qualifica di pubblico ufficiale,ogni esercente una professione sanitaria,solo il medico ospedaliero,D,Area Clinica 2019,medicina legale e sanità pubblica
1070,1071,obblighi giuridici del medico: il referto deve essere fatto quando il medico presta la sua assistenza od opera in casi di:,delitto di percosse,delitto di lesioni personali colpose,delitto di lesioni personali dolose,delitti procedibili d'ufficio,per tutti i reati,D,Area Clinica 2019,medicina legale e sanità pubblica
1071,1072,la denuncia delle cause di morte deve essere fatta,dal medico curante,dal sindaco,dall'ufficiale sanitario,dal direttore sanitario,dal medico provinciale,A,Area Clinica 2019,medicina legale e sanità pubblica
1072,1073,per suicidio mancato si intende quello:,non effettuato per non eccessiva gravità di uno stato depressivo,effettuato a scopo dimostrativo,non attuato nonostante l'intenzione,adeguatamente effettuato ma non riuscito per motivi casuali,condotto a termine secondo modalità volutamente non adeguate,D,Area Clinica 2019,medicina legale e sanità pubblica
1073,1074,l'accertamento di morte cerebrale:,"prevede una commissione costituita da un cardiologo, un medico legale ed un rianimatore",va effettuato solo al fine di espianto,prevede sempre l'esecuzione di una flussimetria cerebrale sui minori di anni sei,nell'adulto necessita di una osservazione di dodici ore,nell'adulto necessita di una osservazione di sei ore,E,Area Clinica 2019,medicina legale e sanità pubblica
1074,1075,la forma delle ecchimosi:,riproduce sempre esattamente quello del mezzo di contrasto,riproduce approssimativamente quello del mezzo di contrasto,dipende dall'età del leso,dipende dalle condizioni anatomiche locali e dalla quantità di sangue travasato,dipende dal sesso del leso,D,Area Clinica 2019,medicina legale e sanità pubblica
